# FFE Export — RCS Data
# Source: result
# Type: ffe
# Grid: 1 phi x 181 theta
#
Angle_deg,RCS_Theta_dBsm,RCS_Phi_dBsm
-180.0000,30.116905,-51.847099
-178.0000,28.727380,-59.866338
-176.0000,24.114053,-56.860247
-174.0000,13.324074,-51.679144
-172.0000,7.836850,-55.701980
-170.0000,12.136810,-67.735761
-168.0000,5.839502,-55.773554
-166.0000,1.710087,-56.486239
-164.0000,8.035456,-68.311793
-162.0000,0.059809,-54.458735
-160.0000,1.838101,-51.331714
-158.0000,3.098724,-54.412147
-156.0000,-12.451859,-50.719340
-154.0000,-5.027883,-53.882932
-152.0000,-3.701981,-63.910591
-150.0000,1.387703,-66.537929
-148.0000,-3.115314,-58.121315
-146.0000,3.768922,-61.451055
-144.0000,-4.104848,-60.559890
-142.0000,4.506188,-57.921257
-140.0000,5.268082,-76.135005
-138.0000,8.488829,-60.278922
-136.0000,7.016335,-55.952645
-134.0000,9.369396,-53.371536
-132.0000,10.102086,-60.641321
-130.0000,8.332905,-69.284581
-128.0000,8.799245,-65.221587
-126.0000,5.484476,-63.646860
-124.0000,2.375536,-68.069461
-122.0000,-7.450151,-55.748011
-120.0000,-2.925072,-57.357229
-118.0000,-5.327036,-60.279463
-116.0000,-3.374352,-72.119000
-114.0000,-9.801866,-58.539009
-112.0000,-10.972017,-61.025727
-110.0000,-10.705352,-61.893955
-108.0000,-6.399640,-63.470742
-106.0000,-8.420546,-62.542852
-104.0000,-21.850592,-58.410903
-102.0000,-5.145008,-75.694729
-100.0000,-13.775880,-63.541026
-98.0000,-14.518972,-56.201726
-96.0000,-7.683391,-66.616093
-94.0000,-19.079432,-69.133591
-92.0000,-13.915796,-61.939654
-90.0000,-10.744041,-67.267274
-88.0000,-18.783908,-79.865895
-86.0000,-13.044282,-63.848952
-84.0000,-12.525911,-61.665128
-82.0000,-17.928153,-68.180844
-80.0000,-11.423598,-66.664152
-78.0000,-14.197248,-63.366732
-76.0000,-16.039199,-64.105233
-74.0000,-10.047069,-73.057027
-72.0000,-17.399391,-58.921731
-70.0000,-13.961781,-61.833456
-68.0000,-9.485176,-66.718477
-66.0000,-20.793276,-58.414693
-64.0000,-12.282145,-64.065997
-62.0000,-10.020162,-63.206894
-60.0000,-18.817373,-67.595122
-58.0000,-11.325398,-66.689336
-56.0000,-11.782830,-68.175320
-54.0000,-16.748493,-64.361350
-52.0000,-10.867866,-59.943187
-50.0000,-14.623654,-60.170793
-48.0000,-16.998841,-56.013796
-46.0000,-10.691617,-58.456642
-44.0000,-19.448993,-70.195519
-42.0000,-15.449568,-59.638425
-40.0000,-12.547041,-56.735778
-38.0000,-35.985134,-67.128143
-36.0000,-11.523494,-55.076250
-34.0000,-20.095794,-59.293852
-32.0000,-17.086222,-75.994887
-30.0000,-15.366928,-56.137055
-28.0000,-12.154902,-55.249526
-26.0000,-25.484397,-64.651918
-24.0000,-11.683501,-57.062444
-22.0000,-17.972272,-57.231724
-20.0000,-18.847783,-62.055206
-18.0000,-22.345906,-60.465111
-16.0000,-21.010072,-56.451854
-14.0000,-11.181001,-55.767917
-12.0000,-9.428378,-57.305585
-10.0000,-19.809383,-58.892009
-8.0000,-7.112252,-56.206157
-6.0000,-3.514693,-55.116866
-4.0000,-7.437862,-58.276978
-2.0000,-26.103373,-64.556934
0.0000,-10.912977,-63.467844
2.0000,-25.768262,-63.586370
4.0000,-7.488443,-56.435929
6.0000,-3.528292,-53.813901
8.0000,-7.090439,-57.418097
10.0000,-19.710451,-70.266195
12.0000,-9.422301,-60.524042
14.0000,-11.165517,-63.162347
16.0000,-21.157080,-65.540652
18.0000,-22.061257,-65.518041
20.0000,-18.834575,-67.616752
22.0000,-17.941005,-66.091547
24.0000,-11.705525,-57.958047
26.0000,-25.603558,-63.437440
28.0000,-12.172152,-59.645431
30.0000,-15.409730,-57.642777
32.0000,-17.100839,-54.994343
34.0000,-20.133330,-58.462920
36.0000,-11.526737,-56.263811
38.0000,-35.664057,-59.830229
40.0000,-12.548579,-56.086671
42.0000,-15.486826,-60.152609
44.0000,-19.540563,-58.784400
46.0000,-10.708119,-61.240387
48.0000,-17.053236,-64.881024
50.0000,-14.685907,-61.055339
52.0000,-10.878306,-70.349486
54.0000,-16.780023,-71.019769
56.0000,-11.800377,-66.264532
58.0000,-11.334645,-72.028219
60.0000,-18.848808,-66.504521
62.0000,-10.023959,-63.050702
64.0000,-12.280049,-66.658245
66.0000,-20.784294,-59.832588
68.0000,-9.479788,-63.764978
70.0000,-13.937493,-70.419591
72.0000,-17.383087,-60.758219
74.0000,-10.037640,-63.115017
76.0000,-16.005069,-67.439906
78.0000,-14.219715,-62.583026
80.0000,-11.423225,-65.478109
82.0000,-17.899188,-60.761286
84.0000,-12.564877,-55.354910
86.0000,-13.048827,-68.547271
88.0000,-18.765535,-61.999672
90.0000,-10.777858,-57.555891
92.0000,-13.897190,-62.654094
94.0000,-19.089444,-62.223688
96.0000,-7.695513,-57.431464
98.0000,-14.469912,-64.497567
100.0000,-13.772325,-60.154577
102.0000,-5.141039,-54.587450
104.0000,-21.695352,-60.281528
106.0000,-8.428540,-74.913023
108.0000,-6.386368,-56.165271
110.0000,-10.710236,-61.062699
112.0000,-10.981545,-60.624175
114.0000,-9.821567,-60.877557
116.0000,-3.374960,-59.721942
118.0000,-5.341488,-54.606483
120.0000,-2.926969,-56.014174
122.0000,-7.434229,-65.826983
124.0000,2.377354,-62.578971
126.0000,5.485482,-56.500227
128.0000,8.796583,-62.556137
130.0000,8.332030,-62.085676
132.0000,10.098711,-58.604866
134.0000,9.367668,-71.550637
136.0000,7.013537,-66.848758
138.0000,8.488902,-71.408153
140.0000,5.264210,-60.953660
142.0000,4.508693,-58.027078
144.0000,-4.108532,-63.218113
146.0000,3.770383,-62.671723
148.0000,-3.116948,-60.874250
150.0000,1.390755,-57.303687
152.0000,-3.698817,-64.918968
154.0000,-5.023279,-55.001985
156.0000,-12.468313,-53.449712
158.0000,3.101356,-57.308687
160.0000,1.839720,-51.658185
162.0000,0.066769,-51.696977
164.0000,8.038108,-59.558228
166.0000,1.711648,-52.171709
168.0000,5.841149,-53.624142
170.0000,12.137989,-60.086681
172.0000,7.838518,-52.160698
174.0000,13.323654,-53.888681
176.0000,24.114050,-78.105552
178.0000,28.727411,-53.359585
180.0000,30.116905,-51.847099
