# FFE Export — RCS Data
# Source: result_rocket
# Type: ffe
# Grid: 1 phi x 181 theta
#
Angle_deg,RCS_Theta_dBsm,RCS_Phi_dBsm
-180.0000,27.775768,-53.673296
-178.0000,27.345699,-53.821014
-176.0000,26.040522,-54.405126
-174.0000,23.846322,-55.340735
-172.0000,20.885034,-56.622516
-170.0000,17.671249,-58.446140
-168.0000,14.603673,-61.207833
-166.0000,9.949822,-65.477357
-164.0000,-4.825109,-70.253798
-162.0000,8.903623,-67.774542
-160.0000,13.252538,-64.452142
-158.0000,12.891945,-63.015638
-156.0000,7.450698,-61.791094
-154.0000,-11.183946,-59.182275
-152.0000,4.047987,-56.821310
-150.0000,-3.173724,-56.306740
-148.0000,6.354600,-58.316928
-146.0000,12.611073,-62.187053
-144.0000,12.470346,-62.272704
-142.0000,6.213839,-63.842428
-140.0000,-0.264373,-79.479144
-138.0000,-7.213516,-59.600541
-136.0000,7.901397,-55.535525
-134.0000,14.120218,-56.292089
-132.0000,13.250350,-62.803649
-130.0000,3.734249,-68.281564
-128.0000,8.999597,-60.903417
-126.0000,11.265817,-61.480587
-124.0000,9.767185,-68.905776
-122.0000,5.156724,-64.700012
-120.0000,2.926801,-58.023005
-118.0000,11.908460,-61.654133
-116.0000,11.060330,-59.643069
-114.0000,4.284709,-53.345459
-112.0000,8.320526,-58.492757
-110.0000,7.325216,-58.185116
-108.0000,0.916702,-53.136047
-106.0000,-3.058969,-64.839126
-104.0000,-4.154270,-54.822137
-102.0000,-3.907643,-54.586067
-100.0000,-8.841918,-64.457633
-98.0000,-5.333222,-53.198956
-96.0000,-4.835686,-57.501631
-94.0000,-20.311411,-62.177770
-92.0000,-3.348928,-55.597780
-90.0000,-3.160825,-61.088851
-88.0000,-4.098298,-65.818111
-86.0000,-5.338188,-59.176974
-84.0000,-1.292041,-60.198062
-82.0000,-1.188786,-65.808193
-80.0000,-11.968983,-59.454337
-78.0000,-2.750875,-60.120631
-76.0000,-7.215657,-59.278985
-74.0000,-11.523068,-65.339543
-72.0000,-9.786327,-58.490674
-70.0000,-5.442067,-55.977659
-68.0000,-10.212115,-72.469185
-66.0000,-4.369643,-56.087506
-64.0000,-1.706310,-55.667869
-62.0000,-8.862659,-87.998979
-60.0000,-4.116525,-55.958536
-58.0000,-5.350201,-57.197166
-56.0000,-5.498213,-70.120148
-54.0000,-8.029369,-55.546737
-52.0000,-10.772032,-57.152177
-50.0000,-4.153976,-67.848509
-48.0000,-12.142098,-57.120700
-46.0000,-7.792324,-58.054518
-44.0000,-5.072662,-72.117006
-42.0000,-7.990866,-63.606439
-40.0000,-4.318248,-63.328614
-38.0000,-6.893974,-75.850542
-36.0000,-7.364570,-68.963062
-34.0000,-1.613891,-65.331832
-32.0000,-2.805003,-63.129727
-30.0000,-10.015975,-60.486528
-28.0000,-5.193791,-58.024008
-26.0000,-3.918748,-56.058551
-24.0000,-8.172165,-55.668425
-22.0000,-7.505626,-57.762087
-20.0000,-5.478575,-61.916413
-18.0000,-11.412000,-58.509962
-16.0000,-8.710043,-54.081431
-14.0000,-0.427825,-51.958319
-12.0000,1.917346,-51.350551
-10.0000,0.681024,-51.734786
-8.0000,-4.603577,-52.720749
-6.0000,-1.488103,-53.925592
-4.0000,4.712080,-54.980543
-2.0000,7.657583,-55.674815
0.0000,8.539535,-56.037311
2.0000,7.660905,-56.154340
4.0000,4.719119,-55.908366
