# FFE Export — RCS Data
# Source: result_rocket_lpo
# Type: ffe
# Grid: 1 phi x 181 theta
#
Angle_deg,RCS_Theta_dBsm,RCS_Phi_dBsm
-180.0000,27.075022,-37.866186
-178.0000,26.702560,-38.400411
-176.0000,25.540338,-39.879674
-174.0000,23.429209,-42.122178
-172.0000,19.980317,-46.392170
-170.0000,14.122145,-58.180096
-168.0000,3.717157,-39.015695
-166.0000,10.019742,-31.799067
-164.0000,13.808212,-27.462814
-162.0000,14.659589,-24.843736
-160.0000,13.783823,-23.590025
-158.0000,11.363501,-23.607755
-156.0000,7.542071,-24.955757
-154.0000,4.953839,-27.859594
-152.0000,3.858483,-32.814991
-150.0000,-2.578489,-40.446422
-148.0000,3.111432,-46.271813
-146.0000,8.559094,-41.508171
-144.0000,8.543425,-33.656783
-142.0000,4.644228,-28.929151
-140.0000,1.219702,-27.092686
-138.0000,-5.550633,-28.209755
-136.0000,6.630419,-33.951543
-134.0000,11.363605,-46.310522
-132.0000,9.471248,-34.199728
-130.0000,0.478524,-33.816985
-128.0000,10.055209,-37.968714
-126.0000,12.189637,-36.555932
-124.0000,9.929903,-34.271959
-122.0000,0.763277,-34.764762
-120.0000,4.432922,-34.103934
-118.0000,11.030898,-32.912860
-116.0000,9.712381,-34.692689
-114.0000,0.956262,-43.127889
-112.0000,5.049469,-33.213485
-110.0000,5.577110,-27.637141
-108.0000,0.840548,-27.681193
-106.0000,-5.124194,-35.481676
-104.0000,-6.509300,-33.915648
-102.0000,-4.434680,-28.351782
-100.0000,-8.287478,-28.925704
-98.0000,-5.734898,-33.070813
-96.0000,-6.134775,-47.066751
-94.0000,-14.852866,-34.869519
-92.0000,-3.064776,-28.436739
-90.0000,-3.619391,-27.751474
-88.0000,-6.573554,-35.168252
-86.0000,-8.221574,-33.489535
-84.0000,-3.609246,-26.789984
-82.0000,-3.458810,-27.881220
-80.0000,-26.207260,-36.080007
-78.0000,-7.187661,-35.224756
-76.0000,-12.202160,-29.663086
-74.0000,-18.685882,-28.012983
-72.0000,-14.790945,-29.690726
-70.0000,-6.448874,-38.735871
-68.0000,-11.846707,-31.407595
-66.0000,-6.188127,-27.614557
-64.0000,-1.396385,-30.367092
-62.0000,-4.956856,-43.954682
-60.0000,-6.236468,-34.224891
-58.0000,-5.156039,-34.832394
-56.0000,-3.884175,-48.303079
-54.0000,-4.527264,-33.175500
-52.0000,-10.276311,-31.893997
-50.0000,-8.138831,-40.958001
-48.0000,-13.482413,-31.698154
-46.0000,-11.054068,-25.939521
-44.0000,-6.603052,-25.281888
-42.0000,-11.063513,-28.842574
-40.0000,-8.957104,-40.162042
-38.0000,-8.280913,-33.851792
-36.0000,-22.215752,-31.303889
-34.0000,-6.441253,-35.610588
-32.0000,-2.923162,-43.288729
-30.0000,-4.608143,-30.704614
-28.0000,-11.858166,-27.174642
-26.0000,-24.045050,-26.951929
-24.0000,-17.114631,-29.691761
-22.0000,-25.674697,-38.030530
-20.0000,-17.620956,-39.005383
-18.0000,-12.204165,-31.419339
-16.0000,-11.882206,-29.670343
-14.0000,-15.386362,-31.033320
-12.0000,-18.278307,-35.565553
-10.0000,-10.142374,-35.023471
-8.0000,-4.670826,-28.810527
-6.0000,-1.114035,-25.110286
-4.0000,1.202229,-22.993996
-2.0000,2.524831,-21.884640
0.0000,2.953162,-21.534022
2.0000,2.514452,-21.869652
4.0000,1.178527,-22.960970
6.0000,-1.159047,-25.065341
8.0000,-4.757160,-28.846886
10.0000,-10.329465,-36.255319
12.0000,-18.676357,-37.875280
14.0000,-15.368271,-31.389165
16.0000,-11.914201,-29.381803
18.0000,-12.326249,-30.421621
20.0000,-17.971379,-35.900086
22.0000,-26.165198,-45.771368
24.0000,-17.349952,-32.122050
26.0000,-26.078032,-28.545637
28.0000,-11.790382,-28.407731
30.0000,-4.626810,-31.470047
32.0000,-3.032829,-38.405194
34.0000,-6.707714,-34.314320
36.0000,-21.886334,-30.996331
38.0000,-8.243073,-33.030017
40.0000,-9.141981,-43.030529
42.0000,-10.865347,-29.628884
44.0000,-6.524432,-25.035139
46.0000,-11.254658,-24.703081
48.0000,-13.276435,-28.409057
50.0000,-8.104440,-39.236825
52.0000,-10.380274,-35.744603
54.0000,-4.645983,-34.815820
56.0000,-3.986340,-36.781576
58.0000,-5.066904,-34.605682
60.0000,-6.345574,-38.060193
62.0000,-4.898430,-39.949528
64.0000,-1.310755,-30.181494
66.0000,-6.301937,-28.354811
68.0000,-11.327458,-31.794267
70.0000,-6.330395,-39.633023
72.0000,-14.643635,-30.646268
74.0000,-18.184722,-27.697726
76.0000,-12.262979,-28.288072
78.0000,-7.238042,-32.983684
80.0000,-24.603747,-36.345965
82.0000,-3.353375,-28.206783
84.0000,-3.648385,-27.009066
86.0000,-8.055365,-32.307027
88.0000,-6.459544,-39.915500
90.0000,-3.550840,-30.109259
92.0000,-2.962112,-28.406343
94.0000,-14.798850,-30.269911
96.0000,-6.025833,-40.924544
98.0000,-5.604159,-33.500318
100.0000,-8.170139,-27.397305
102.0000,-4.481123,-27.063770
104.0000,-6.709076,-32.183511
106.0000,-5.245015,-33.496465
108.0000,0.792765,-27.520027
110.0000,5.531691,-27.682550
112.0000,5.011535,-33.220151
114.0000,0.947375,-43.996013
116.0000,9.711901,-35.175449
118.0000,11.022980,-32.874787
120.0000,4.385213,-33.807271
122.0000,0.846457,-35.057469
124.0000,9.927410,-35.299149
126.0000,12.168660,-42.503873
128.0000,10.038403,-37.307694
130.0000,0.413355,-30.056820
132.0000,9.450758,-29.593662
134.0000,11.362845,-35.799133
136.0000,6.652944,-35.329376
138.0000,-5.569395,-28.206230
140.0000,1.213728,-26.735524
142.0000,4.661073,-28.510505
144.0000,8.545448,-33.446707
146.0000,8.556076,-41.384073
148.0000,3.103829,-43.194516
150.0000,-2.589439,-49.960264
152.0000,3.856717,-37.020197
154.0000,4.940971,-29.312407
156.0000,7.519152,-25.381561
158.0000,11.348147,-23.556649
160.0000,13.775041,-23.327667
162.0000,14.655089,-24.554180
164.0000,13.807144,-27.346721
166.0000,10.025387,-32.195257
168.0000,3.749531,-40.165371
170.0000,14.122801,-42.345792
172.0000,19.979356,-38.939182
174.0000,23.428318,-38.257386
176.0000,25.539723,-38.387327
178.0000,26.702252,-38.117526
180.0000,27.075022,-37.866186
