# 3D Scattering Centers from SAR Imaging
# Model: simple_missile
# Center angles (deg): 0   15   30   45   60   75   90  105  120  135  150  165  180
# Sub-aperture: 10.0 deg
# Window: hamming, CLEAN: maxIter=50, thresh=0.05, gain=0.50
# Total centers: 650
# Phase convention corrected: P_3d = -r*k_hat - x*k_perp
#
# Columns: x(m)  y(m)  z(m)  amplitude  source_theta(deg)
  -0.214859  0.000000  2.906250  1.635140e-03  0.0
  -0.214859  0.000000  2.887500  1.626344e-03  0.0
  0.000000  0.000000  2.906250  1.792148e-03  0.0
  0.000000  0.000000  2.925000  1.400603e-03  0.0
  -0.429718  0.000000  2.887500  1.353247e-03  0.0
  -0.214859  0.000000  2.906250  1.513070e-03  0.0
  -0.214859  0.000000  2.887500  1.217448e-03  0.0
  -0.429718  0.000000  2.868750  1.287603e-03  0.0
  0.000000  0.000000  2.906250  1.226878e-03  0.0
  0.214859  0.000000  2.925000  1.162386e-03  0.0
  -0.214859  0.000000  2.887500  1.112270e-03  0.0
  0.000000  0.000000  2.887500  1.073785e-03  0.0
  0.000000  0.000000  2.906250  1.134410e-03  0.0
  -0.214859  0.000000  2.868750  1.089841e-03  0.0
  0.000000  0.000000  2.925000  1.045299e-03  0.0
  -0.214859  0.000000  2.887500  9.816185e-04  0.0
  -0.214859  0.000000  2.906250  1.090680e-03  0.0
  -0.429718  0.000000  2.887500  1.061087e-03  0.0
  -0.429718  0.000000  2.868750  1.055793e-03  0.0
  -0.214859  0.000000  2.887500  9.395968e-04  0.0
  0.000000  0.000000  2.906250  9.513666e-04  0.0
  0.214859  0.000000  2.925000  9.258160e-04  0.0
  0.214859  0.000000  2.943750  9.293436e-04  0.0
  0.000000  0.000000  2.925000  1.008374e-03  0.0
  -0.214859  0.000000  2.906250  1.006221e-03  0.0
  -0.429718  0.000000  2.887500  9.075192e-04  0.0
  -0.644578  0.000000  2.868750  9.988961e-04  0.0
  -0.214859  0.000000  2.887500  8.001713e-04  0.0
  -0.429718  0.000000  2.868750  9.481830e-04  0.0
  0.000000  0.000000  2.906250  9.004672e-04  0.0
  -0.644578  0.000000  2.850000  8.341619e-04  0.0
  0.000000  0.000000  2.925000  8.284623e-04  0.0
  -0.214859  0.000000  2.906250  8.879073e-04  0.0
  -0.429718  0.000000  2.887500  9.154458e-04  0.0
  0.214859  0.000000  2.943750  8.603805e-04  0.0
  -0.214859  0.000000  2.887500  8.578039e-04  0.0
  -0.429718  0.000000  2.868750  9.218453e-04  0.0
  -0.214859  0.000000  2.925000  7.887128e-04  0.0
  -0.214859  0.000000  2.906250  8.595574e-04  0.0
  0.000000  0.000000  2.925000  8.533663e-04  0.0
  0.000000  0.000000  2.943750  9.125347e-04  0.0
  -0.429718  0.000000  2.887500  8.122527e-04  0.0
  -0.644578  0.000000  2.868750  8.291186e-04  0.0
  0.000000  0.000000  2.906250  8.082215e-04  0.0
  -0.214859  0.000000  2.887500  8.259258e-04  0.0
  -0.214859  0.000000  2.868750  8.293587e-04  0.0
  0.000000  0.000000  2.887500  8.135931e-04  0.0
  -0.429718  0.000000  2.850000  7.904400e-04  0.0
  -0.429718  0.000000  2.868750  8.175063e-04  0.0
  0.000000  0.000000  2.925000  7.413248e-04  0.0
  0.016104  0.000000  2.965633  2.148161e-04  15.0
  0.124726  0.000000  2.955940  2.319070e-04  15.0
  -0.092518  0.000000  2.975327  2.058974e-04  15.0
  0.016104  0.000000  2.965633  1.927813e-04  15.0
  -0.087665  0.000000  2.993438  1.846670e-04  15.0
  0.020957  0.000000  2.983745  2.178558e-04  15.0
  0.129579  0.000000  2.974051  2.045249e-04  15.0
  -0.196287  0.000000  3.003132  2.016486e-04  15.0
  -0.087665  0.000000  2.993438  1.744181e-04  15.0
