# 3D Scattering Centers from SAR Imaging
# Model: rocket
# Center angles (deg): 60   75   90  105  120
# Sub-aperture: 10.0 deg
# Window: hamming, CLEAN: maxIter=50, thresh=0.05, gain=0.50
# Total centers: 250
# Phase convention corrected: P_3d = -r*k_hat - x*k_perp
#
# Columns: x(m)  y(m)  z(m)  amplitude  source_theta(deg)
  0.831247  0.000000  1.710239  1.288736e-04  60.0
  0.868709  0.000000  1.670352  1.478242e-04  60.0
  0.906172  0.000000  1.630465  1.305938e-04  60.0
  0.852897  0.000000  1.722739  1.295684e-04  60.0
  1.912545  0.000000  -0.187626  1.278704e-04  60.0
  1.875083  0.000000  -0.147739  1.477505e-04  60.0
  1.837620  0.000000  -0.107852  1.383033e-04  60.0
  1.880069  0.000000  -0.206376  1.279292e-04  60.0
  1.784346  0.000000  -0.015578  1.282384e-04  60.0
  1.821808  0.000000  -0.055465  1.356589e-04  60.0
  1.859271  0.000000  -0.095352  1.473943e-04  60.0
  1.896733  0.000000  -0.135239  1.359776e-04  60.0
  1.934196  0.000000  -0.175126  1.592136e-04  60.0
  1.880922  0.000000  -0.082852  1.287416e-04  60.0
  1.827647  0.000000  0.009422  1.514459e-04  60.0
  1.774373  0.000000  0.101696  1.545528e-04  60.0
  1.721099  0.000000  0.193970  1.361039e-04  60.0
  1.816822  0.000000  0.003172  1.288602e-04  60.0
  1.854284  0.000000  -0.036715  1.519552e-04  60.0
  1.891747  0.000000  -0.076602  1.502147e-04  60.0
  1.779359  0.000000  0.043059  1.482349e-04  60.0
  1.741897  0.000000  0.082946  1.466199e-04  60.0
  1.816822  0.000000  0.003172  1.444848e-04  60.0
  1.779359  0.000000  0.043059  1.526799e-04  60.0
  1.854284  0.000000  -0.036715  1.521013e-04  60.0
  1.816822  0.000000  0.003172  1.536623e-04  60.0
  1.955847  0.000000  -0.162626  1.358619e-04  60.0
  1.918384  0.000000  -0.122739  1.476434e-04  60.0
  1.880922  0.000000  -0.082852  1.454473e-04  60.0
  1.843459  0.000000  -0.042965  1.470765e-04  60.0
  1.805997  0.000000  -0.003078  1.453195e-04  60.0
  1.768534  0.000000  0.036809  1.474781e-04  60.0
  1.731072  0.000000  0.076696  1.508424e-04  60.0
  1.842607  0.000000  -0.166489  1.300484e-04  60.0
  1.763548  0.000000  0.095446  1.253897e-04  60.0
  1.726085  0.000000  0.135333  1.345036e-04  60.0
  1.801010  0.000000  0.055559  1.298160e-04  60.0
  1.838473  0.000000  0.015672  1.407868e-04  60.0
  1.891747  0.000000  -0.076602  1.389680e-04  60.0
  1.945021  0.000000  -0.168876  1.419802e-04  60.0
  1.854284  0.000000  -0.036715  1.339571e-04  60.0
  1.907559  0.000000  -0.128989  1.557556e-04  60.0
  1.785198  0.000000  0.107946  1.415201e-04  60.0
  1.731924  0.000000  0.200220  1.528097e-04  60.0
  1.678650  0.000000  0.292494  1.330868e-04  60.0
  1.769386  0.000000  0.160333  1.292398e-04  60.0
  1.716112  0.000000  0.252607  1.498515e-04  60.0
  1.822661  0.000000  0.068059  1.577158e-04  60.0
  1.769386  0.000000  0.160333  1.366559e-04  60.0
  1.731924  0.000000  0.200220  1.358825e-04  60.0
  0.541545  0.000000  -0.185815  2.534341e-03  75.0
  0.567408  0.000000  -0.234039  2.962860e-03  75.0
  0.513968  0.000000  -0.082897  2.790475e-03  75.0
  0.594985  0.000000  -0.336957  2.836349e-03  75.0
  0.539831  0.000000  -0.131121  2.667150e-03  75.0
  0.622561  0.000000  -0.439875  2.549240e-03  75.0
  0.569122  0.000000  -0.288733  2.524476e-03  75.0
  0.500180  0.000000  -0.031438  2.635839e-03  75.0
  0.527757  0.000000  -0.134356  2.422911e-03  75.0
  0.594985  0.000000  -0.336957  2.410836e-03  75.0
  0.567408  0.000000  -0.234039  2.462897e-03  75.0
  0.634635  0.000000  -0.436640  2.453020e-03  75.0
  0.607059  0.000000  -0.333722  2.378055e-03  75.0
  0.486392  0.000000  0.020021  2.355677e-03  75.0
  0.512254  0.000000  -0.028203  2.423812e-03  75.0
  0.662212  0.000000  -0.539558  2.320693e-03  75.0
  0.539831  0.000000  -0.131121  2.223051e-03  75.0
  0.472603  0.000000  0.071480  2.116025e-03  75.0
  0.500180  0.000000  -0.031438  2.460492e-03  75.0
  0.581196  0.000000  -0.285498  2.259205e-03  75.0
  0.555334  0.000000  -0.237274  2.281648e-03  75.0
  0.527757  0.000000  -0.134356  2.180230e-03  75.0
  0.608773  0.000000  -0.388416  2.262915e-03  75.0
  0.634635  0.000000  -0.436640  2.510918e-03  75.0
  0.567408  0.000000  -0.234039  2.080889e-03  75.0
  0.594985  0.000000  -0.336957  2.242363e-03  75.0
  0.636350  0.000000  -0.491335  2.082973e-03  75.0
  0.662212  0.000000  -0.539558  2.291146e-03  75.0
  0.688075  0.000000  -0.587782  2.053729e-03  75.0
  0.620847  0.000000  -0.385181  1.963905e-03  75.0
  0.648424  0.000000  -0.488099  1.952904e-03  75.0
  0.539831  0.000000  -0.131121  1.919724e-03  75.0
  0.512254  0.000000  -0.028203  1.992126e-03  75.0
  0.486392  0.000000  0.020021  2.361856e-03  75.0
  0.460529  0.000000  0.068245  2.152366e-03  75.0
  0.567408  0.000000  -0.234039  2.003208e-03  75.0
  0.594985  0.000000  -0.336957  2.078587e-03  75.0
  0.622561  0.000000  -0.439875  2.113054e-03  75.0
  0.500180  0.000000  -0.031438  2.044955e-03  75.0
  0.527757  0.000000  -0.134356  2.239881e-03  75.0
  0.555334  0.000000  -0.237274  2.237595e-03  75.0
  0.488106  0.000000  -0.034673  2.006477e-03  75.0
  0.513968  0.000000  -0.082897  1.958771e-03  75.0
  0.582911  0.000000  -0.340193  2.086646e-03  75.0
  0.472603  0.000000  0.071480  2.103158e-03  75.0
  0.539831  0.000000  -0.131121  1.951484e-03  75.0
  0.500180  0.000000  -0.031438  1.991681e-03  75.0
  0.608773  0.000000  -0.388416  2.010796e-03  75.0
  0.445026  0.000000  0.174398  1.960439e-03  75.0
  0.472603  0.000000  0.071480  1.934611e-03  75.0
  0.500000  0.000000  0.266372  3.073559e-03  90.0
  0.500000  0.000000  0.372920  3.790307e-03  90.0
  0.500000  0.000000  0.479469  4.207812e-03  90.0
  0.500000  0.000000  0.586018  4.190576e-03  90.0
  0.500000  0.000000  0.692567  3.897284e-03  90.0
  0.500000  0.000000  0.159823  3.644370e-03  90.0
  0.500000  0.000000  0.799115  3.616263e-03  90.0
  0.500000  0.000000  0.905664  3.280619e-03  90.0
  0.500000  0.000000  0.266372  3.329218e-03  90.0
  0.500000  0.000000  0.372920  3.987186e-03  90.0
  0.500000  0.000000  0.479469  4.227419e-03  90.0
  0.500000  0.000000  0.586018  4.222492e-03  90.0
  0.500000  0.000000  0.692567  4.077781e-03  90.0
  0.500000  0.000000  0.799115  3.529778e-03  90.0
  0.500000  0.000000  0.586018  3.371353e-03  90.0
  0.500000  0.000000  0.479469  4.126148e-03  90.0
  0.500000  0.000000  0.372920  4.280533e-03  90.0
  0.500000  0.000000  0.692567  3.879418e-03  90.0
  0.500000  0.000000  0.586018  3.938763e-03  90.0
  0.500000  0.000000  0.479469  4.333788e-03  90.0
