# 3D Scattering Centers from SAR Imaging
# Model: rocket
# Center angles (deg): 30   45   60   75   90  105  120
# Sub-aperture: 10.0 deg
# Window: kaiser, CLEAN: maxIter=50, thresh=0.05, gain=0.50
# Total centers: 350
# Phase convention corrected: P_3d = -r*k_hat - x*k_perp
#
# Columns: x(m)  y(m)  z(m)  amplitude  source_theta(deg)
  0.727607  0.000000  2.538836  2.763133e-04  30.0
  0.675220  0.000000  2.554648  3.357972e-04  30.0
  0.622833  0.000000  2.570460  3.425516e-04  30.0
  0.570446  0.000000  2.586272  3.299870e-04  30.0
  0.779994  0.000000  2.523024  3.128033e-04  30.0
  0.518059  0.000000  2.602084  3.039307e-04  30.0
  0.872268  0.000000  2.469750  3.014956e-04  30.0
  0.681470  0.000000  2.565473  2.847495e-04  30.0
  0.773744  0.000000  2.512199  3.347517e-04  30.0
  0.589196  0.000000  2.618748  3.247765e-04  30.0
  0.536809  0.000000  2.634560  3.072803e-04  30.0
  0.484422  0.000000  2.650371  3.047457e-04  30.0
  0.629083  0.000000  2.581285  2.910124e-04  30.0
  0.681470  0.000000  2.565473  3.571691e-04  30.0
  0.576696  0.000000  2.597097  3.181734e-04  30.0
  0.629083  0.000000  2.581285  3.190127e-04  30.0
  0.721357  0.000000  2.528011  3.062931e-04  30.0
  0.813631  0.000000  2.474737  3.331040e-04  30.0
  0.905904  0.000000  2.421462  3.329236e-04  30.0
  0.761244  0.000000  2.490548  2.966870e-04  30.0
  0.668970  0.000000  2.543823  3.312099e-04  30.0
  0.853518  0.000000  2.437274  3.252199e-04  30.0
  0.536809  0.000000  2.634560  3.106928e-04  30.0
  0.761244  0.000000  2.490548  3.209390e-04  30.0
  0.715107  0.000000  2.517186  3.017360e-04  30.0
  0.807381  0.000000  2.463911  3.431577e-04  30.0
  0.622833  0.000000  2.570460  3.525972e-04  30.0
  0.570446  0.000000  2.586272  3.108786e-04  30.0
  0.715107  0.000000  2.517186  3.002692e-04  30.0
  0.662720  0.000000  2.532997  3.569789e-04  30.0
  0.490672  0.000000  2.661197  2.943581e-04  30.0
  0.629083  0.000000  2.581285  2.875113e-04  30.0
  0.576696  0.000000  2.597097  3.364563e-04  30.0
  0.484422  0.000000  2.650371  3.302818e-04  30.0
  0.754994  0.000000  2.479723  2.906983e-04  30.0
  0.668970  0.000000  2.543823  3.055270e-04  30.0
  0.576696  0.000000  2.597097  3.292029e-04  30.0
  0.721357  0.000000  2.528011  3.208094e-04  30.0
  0.668970  0.000000  2.543823  3.145329e-04  30.0
  0.761244  0.000000  2.490548  3.107122e-04  30.0
  0.813631  0.000000  2.474737  3.521847e-04  30.0
  0.847268  0.000000  2.426449  2.935570e-04  30.0
  0.859768  0.000000  2.448099  2.877583e-04  30.0
  0.767494  0.000000  2.501374  3.018512e-04  30.0
  0.675220  0.000000  2.554648  3.373924e-04  30.0
  0.582946  0.000000  2.607922  3.569171e-04  30.0
  0.530559  0.000000  2.623734  2.871938e-04  30.0
  0.622833  0.000000  2.570460  2.969571e-04  30.0
  0.715107  0.000000  2.517186  3.523849e-04  30.0
  0.807381  0.000000  2.463911  3.260595e-04  30.0
  0.842208  0.000000  2.198351  1.854600e-04  45.0
  0.795698  0.000000  2.227183  2.262944e-04  45.0
  0.749189  0.000000  2.256015  2.287676e-04  45.0
  0.888717  0.000000  2.169519  2.216490e-04  45.0
  0.964059  0.000000  2.094178  2.196460e-04  45.0
  1.039400  0.000000  2.018837  2.287325e-04  45.0
  1.114741  0.000000  1.943496  2.132818e-04  45.0
  0.813376  0.000000  2.244861  2.042145e-04  45.0
