# 3D Scattering Centers Reconstruction
# Model: simple_missile
# Reference point: [0.0000, 0.0000, 0.0000] m
# Center angles (deg): 0   15   30   45   60   75   90  105  120  135  150  165  180
# Aperture: 30.0 deg
# Total centers: 390
#
# Columns: x(m)  y(m)  z(m)  amplitude  source_theta(deg)
  -0.286479  0.000000  2.887500  8.949508e-04  0.0
  -0.358099  0.000000  2.868750  9.681693e-04  0.0
  -0.214859  0.000000  2.906250  9.068258e-04  0.0
  -0.286479  0.000000  2.887500  7.712021e-04  0.0
  -0.429718  0.000000  2.850000  7.179254e-04  0.0
  -0.358099  0.000000  2.868750  7.318352e-04  0.0
  -0.286479  0.000000  2.906250  6.268329e-04  0.0
  -0.358099  0.000000  2.887500  7.693686e-04  0.0
  -0.429718  0.000000  2.868750  7.898677e-04  0.0
  -0.501338  0.000000  2.850000  6.700567e-04  0.0
  -0.214859  0.000000  2.925000  6.350497e-04  0.0
  -0.286479  0.000000  2.906250  6.035612e-04  0.0
  -0.358099  0.000000  2.887500  6.401670e-04  0.0
  -0.429718  0.000000  2.868750  6.488991e-04  0.0
  -0.429718  0.000000  2.850000  4.650983e-04  0.0
  -0.358099  0.000000  2.868750  5.338030e-04  0.0
  -0.286479  0.000000  2.887500  5.878734e-04  0.0
  -0.214859  0.000000  2.906250  5.287875e-04  0.0
  -0.501338  0.000000  2.831250  4.969665e-04  0.0
  -0.214859  0.000000  2.925000  4.743894e-04  0.0
  -0.286479  0.000000  2.906250  4.883168e-04  0.0
  -0.358099  0.000000  2.887500  5.303337e-04  0.0
  -0.429718  0.000000  2.868750  4.700127e-04  0.0
  -0.501338  0.000000  2.850000  5.436935e-04  0.0
  -0.572958  0.000000  2.831250  5.101527e-04  0.0
  -0.429718  0.000000  2.850000  4.347074e-04  0.0
  -0.358099  0.000000  2.868750  4.878793e-04  0.0
  -0.286479  0.000000  2.887500  5.284482e-04  0.0
  -0.572958  0.000000  2.850000  4.188173e-04  0.0
  -0.286479  0.000000  2.906250  4.176260e-04  0.0
  0.436033  0.000000  2.872525  2.386486e-04  15.0
  0.396590  0.000000  2.863682  2.728012e-04  15.0
  0.357148  0.000000  2.854840  2.240747e-04  15.0
  0.475475  0.000000  2.881368  2.156682e-04  15.0
  0.539802  0.000000  2.844720  1.907602e-04  15.0
  0.579244  0.000000  2.853563  1.879224e-04  15.0
  0.292821  0.000000  2.891487  1.859187e-04  15.0
  0.332264  0.000000  2.900330  2.102411e-04  15.0
  0.287969  0.000000  2.873376  1.908969e-04  15.0
  0.327411  0.000000  2.882219  1.738118e-04  15.0
  0.500359  0.000000  2.835878  1.854064e-04  15.0
  0.401443  0.000000  2.881794  1.778859e-04  15.0
  0.406296  0.000000  2.899905  1.580941e-04  15.0
