# 3D Scattering Centers Reconstruction
# Model: rocket
# Reference point: [0.0000, 0.0000, 0.9500] m
# Center angles (deg): 30   35   40   45   50   55   60   65   70   75   80   85   90   95  100  105  110  115  120  125  130  135  140  145  150
# Aperture: 3.0 deg
# Total centers: 750
#
# Columns: x(m)  y(m)  z(m)  amplitude  source_theta(deg)
  1.067864  0.000000  2.327955  1.372861e+01  30.0
  1.150718  0.000000  2.280119  9.391200e+00  30.0
  1.067864  0.000000  2.327955  1.372861e+01  30.0
  1.115541  0.000000  2.314862  1.173929e+01  30.0
  1.020187  0.000000  2.341048  9.968544e+00  30.0
  1.067864  0.000000  2.327955  1.372861e+01  30.0
  1.150718  0.000000  2.280119  9.391200e+00  30.0
  1.067864  0.000000  2.327955  1.372861e+01  30.0
  1.150718  0.000000  2.280119  9.391200e+00  30.0
  1.067864  0.000000  2.327955  1.372861e+01  30.0
  1.026437  0.000000  2.351873  1.200382e+01  30.0
  1.109291  0.000000  2.304037  1.267838e+01  30.0
  1.026437  0.000000  2.351873  1.200382e+01  30.0
  1.109291  0.000000  2.304037  1.267838e+01  30.0
  1.026437  0.000000  2.351873  1.200382e+01  30.0
  1.109291  0.000000  2.304037  1.267838e+01  30.0
  1.026437  0.000000  2.351873  1.200382e+01  30.0
  1.109291  0.000000  2.304037  1.267838e+01  30.0
  1.192146  0.000000  2.256201  5.513154e+00  30.0
  1.109291  0.000000  2.304037  1.267838e+01  30.0
  1.026437  0.000000  2.351873  1.200382e+01  30.0
  1.109291  0.000000  2.304037  1.267838e+01  30.0
  1.192146  0.000000  2.256201  5.513154e+00  30.0
  1.109291  0.000000  2.304037  1.267838e+01  30.0
  1.026437  0.000000  2.351873  1.200382e+01  30.0
  1.109291  0.000000  2.304037  1.267838e+01  30.0
  1.192146  0.000000  2.256201  5.513154e+00  30.0
  1.109291  0.000000  2.304037  1.267838e+01  30.0
  1.026437  0.000000  2.351873  1.200382e+01  30.0
  1.109291  0.000000  2.304037  1.267838e+01  30.0
  1.155813  0.000000  2.151070  1.260406e+01  35.0
  1.234183  0.000000  2.096194  9.919038e+00  35.0
  1.155813  0.000000  2.151070  1.260406e+01  35.0
  1.202168  0.000000  2.133871  1.225304e+01  35.0
  1.280538  0.000000  2.078996  6.644704e+00  35.0
  1.162982  0.000000  2.161309  1.252982e+01  35.0
  1.241353  0.000000  2.106434  9.957123e+00  35.0
  1.162982  0.000000  2.161309  1.252982e+01  35.0
  1.241353  0.000000  2.106434  9.957123e+00  35.0
  1.162982  0.000000  2.161309  1.252982e+01  35.0
  1.672388  0.000000  1.804620  1.070218e+01  35.0
  1.241353  0.000000  2.106434  9.957123e+00  35.0
  1.162982  0.000000  2.161309  1.252982e+01  35.0
  1.241353  0.000000  2.106434  9.957123e+00  35.0
  1.162982  0.000000  2.161309  1.252982e+01  35.0
  1.241353  0.000000  2.106434  9.957123e+00  35.0
  1.162982  0.000000  2.161309  1.252982e+01  35.0
  1.241353  0.000000  2.106434  9.957123e+00  35.0
  1.162982  0.000000  2.161309  1.252982e+01  35.0
  1.679557  0.000000  1.814859  8.113991e+00  35.0
  1.241353  0.000000  2.106434  9.957123e+00  35.0
  1.162982  0.000000  2.161309  1.252982e+01  35.0
  1.241353  0.000000  2.106434  9.957123e+00  35.0
  1.194998  0.000000  2.123632  1.224037e+01  35.0
  1.148643  0.000000  2.140830  9.681742e+00  35.0
  1.155813  0.000000  2.151070  1.260406e+01  35.0
  1.234183  0.000000  2.096194  9.919038e+00  35.0
  1.155813  0.000000  2.151070  1.260406e+01  35.0
  1.234183  0.000000  2.096194  9.919038e+00  35.0
  1.155813  0.000000  2.151070  1.260406e+01  35.0
  1.250509  0.000000  1.936817  1.241868e+01  40.0
  1.323798  0.000000  1.875320  7.821225e+00  40.0
  1.250509  0.000000  1.936817  1.241868e+01  40.0
  1.295189  0.000000  1.915644  1.057833e+01  40.0
  1.734923  0.000000  1.546663  1.168735e+01  40.0
  1.690244  0.000000  1.567836  1.002078e+01  40.0
  1.726889  0.000000  1.537088  1.213558e+01  40.0
