# 3D Scattering Centers Reconstruction
# Model: rocket
# Reference point: [0.0000, 0.0000, 0.9500] m
# Center angles (deg): 50  55  60  65  70
# Aperture: 3.0 deg
# Total centers: 150
#
# Columns: x(m)  y(m)  z(m)  amplitude  source_theta(deg)
  1.697428  0.000000  1.049638  1.081725e+01  50.0
  1.657104  0.000000  1.078248  9.186469e+00  50.0
  1.718601  0.000000  1.004959  1.024561e+01  50.0
  1.657104  0.000000  1.078248  9.186469e+00  50.0
  1.737752  0.000000  1.021028  9.453094e+00  50.0
  1.697428  0.000000  1.049638  1.081725e+01  50.0
  1.635932  0.000000  1.122927  7.301500e+00  50.0
  1.728177  0.000000  1.012994  1.080951e+01  50.0
  1.666680  0.000000  1.086283  9.514326e+00  50.0
  1.728177  0.000000  1.012994  1.080951e+01  50.0
  1.666680  0.000000  1.086283  9.514326e+00  50.0
  1.728177  0.000000  1.012994  1.080951e+01  50.0
  1.666680  0.000000  1.086283  9.514326e+00  50.0
  1.318872  0.000000  1.481338  9.028058e+00  50.0
  1.728177  0.000000  1.012994  1.080951e+01  50.0
  1.666680  0.000000  1.086283  9.514326e+00  50.0
  1.728177  0.000000  1.012994  1.080951e+01  50.0
  1.666680  0.000000  1.086283  9.514326e+00  50.0
  1.728177  0.000000  1.012994  1.080951e+01  50.0
  1.666680  0.000000  1.086283  9.514326e+00  50.0
  1.605183  0.000000  1.159572  4.817147e+00  50.0
  1.666680  0.000000  1.086283  9.514326e+00  50.0
  1.728177  0.000000  1.012994  1.080951e+01  50.0
  1.666680  0.000000  1.086283  9.514326e+00  50.0
  1.626356  0.000000  1.114892  7.150526e+00  50.0
  1.687853  0.000000  1.041603  1.030138e+01  50.0
  1.626356  0.000000  1.114892  7.150526e+00  50.0
  1.687853  0.000000  1.041603  1.030138e+01  50.0
  1.728177  0.000000  1.012994  1.080951e+01  50.0
  1.666680  0.000000  1.086283  9.514326e+00  50.0
  1.628860  0.000000  0.790158  1.032257e+01  55.0
  1.573985  0.000000  0.868528  8.493935e+00  55.0
  1.628860  0.000000  0.790158  1.032257e+01  55.0
  1.666537  0.000000  0.758142  9.397501e+00  55.0
  1.611662  0.000000  0.836513  9.633216e+00  55.0
  1.573985  0.000000  0.868528  8.493935e+00  55.0
  1.628860  0.000000  0.790158  1.032257e+01  55.0
  1.666537  0.000000  0.758142  9.397501e+00  55.0
  1.611662  0.000000  0.836513  9.633216e+00  55.0
  1.573985  0.000000  0.868528  8.493935e+00  55.0
  1.628860  0.000000  0.790158  1.032257e+01  55.0
  1.666537  0.000000  0.758142  9.397501e+00  55.0
  1.611662  0.000000  0.836513  9.633216e+00  55.0
  1.573985  0.000000  0.868528  8.493935e+00  55.0
  1.628860  0.000000  0.790158  1.032257e+01  55.0
  1.666537  0.000000  0.758142  9.397501e+00  55.0
  1.611662  0.000000  0.836513  9.633216e+00  55.0
  1.573985  0.000000  0.868528  8.493935e+00  55.0
  1.628860  0.000000  0.790158  1.032257e+01  55.0
  1.666537  0.000000  0.758142  9.397501e+00  55.0
  1.611662  0.000000  0.836513  9.633216e+00  55.0
  1.573985  0.000000  0.868528  8.493935e+00  55.0
  1.628860  0.000000  0.790158  1.032257e+01  55.0
  1.666537  0.000000  0.758142  9.397501e+00  55.0
  1.611662  0.000000  0.836513  9.633216e+00  55.0
  1.573985  0.000000  0.868528  8.493935e+00  55.0
  1.536308  0.000000  0.900543  5.769253e+00  55.0
  1.591183  0.000000  0.822173  8.786173e+00  55.0
  1.628860  0.000000  0.790158  1.032257e+01  55.0
  1.666537  0.000000  0.758142  9.397501e+00  55.0
  1.529149  0.000000  0.551437  9.130685e+00  60.0
  1.481313  0.000000  0.634291  7.896547e+00  60.0
  1.529149  0.000000  0.551437  9.130685e+00  60.0
  1.481313  0.000000  0.634291  7.896547e+00  60.0
  1.529149  0.000000  0.551437  9.130685e+00  60.0
  1.563892  0.000000  0.516259  8.142800e+00  60.0
  1.516056  0.000000  0.599114  8.547136e+00  60.0
  1.481313  0.000000  0.634291  7.896547e+00  60.0
  1.529149  0.000000  0.551437  9.130685e+00  60.0
  1.563892  0.000000  0.516259  8.142800e+00  60.0
  1.516056  0.000000  0.599114  8.547136e+00  60.0
  1.481313  0.000000  0.634291  7.896547e+00  60.0
  1.529149  0.000000  0.551437  9.130685e+00  60.0
  1.563892  0.000000  0.516259  8.142800e+00  60.0
  1.516056  0.000000  0.599114  8.547136e+00  60.0
  1.481313  0.000000  0.634291  7.896547e+00  60.0
  1.529149  0.000000  0.551437  9.130685e+00  60.0
  1.563892  0.000000  0.516259  8.142800e+00  60.0
  1.516056  0.000000  0.599114  8.547136e+00  60.0
  1.481313  0.000000  0.634291  7.896547e+00  60.0
  1.446569  0.000000  0.669468  5.697260e+00  60.0
  1.494405  0.000000  0.586614  7.527832e+00  60.0
  1.529149  0.000000  0.551437  9.130685e+00  60.0
  1.563892  0.000000  0.516259  8.142800e+00  60.0
  1.516056  0.000000  0.599114  8.547136e+00  60.0
  1.481313  0.000000  0.634291  7.896547e+00  60.0
  1.446569  0.000000  0.669468  5.697260e+00  60.0
  1.494405  0.000000  0.586614  7.527832e+00  60.0
  1.529149  0.000000  0.551437  9.130685e+00  60.0
  1.563892  0.000000  0.516259  8.142800e+00  60.0
  1.358584  0.000000  0.369612  1.206711e+01  65.0
  1.399017  0.000000  0.282903  9.995668e+00  65.0
  1.358584  0.000000  0.369612  1.206711e+01  65.0
  1.318151  0.000000  0.456320  8.596297e+00  65.0
  1.358584  0.000000  0.369612  1.206711e+01  65.0
  1.399017  0.000000  0.282903  9.995668e+00  65.0
  1.358584  0.000000  0.369612  1.206711e+01  65.0
  1.318151  0.000000  0.456320  8.596297e+00  65.0
  1.358584  0.000000  0.369612  1.206711e+01  65.0
  1.399017  0.000000  0.282903  9.995668e+00  65.0
  1.358584  0.000000  0.369612  1.206711e+01  65.0
  1.318151  0.000000  0.456320  8.596297e+00  65.0
  1.358584  0.000000  0.369612  1.206711e+01  65.0
  1.399017  0.000000  0.282903  9.995668e+00  65.0
  1.358584  0.000000  0.369612  1.206711e+01  65.0
  1.318151  0.000000  0.456320  8.596297e+00  65.0
  1.358584  0.000000  0.369612  1.206711e+01  65.0
  1.399017  0.000000  0.282903  9.995668e+00  65.0
  1.358584  0.000000  0.369612  1.206711e+01  65.0
  1.318151  0.000000  0.456320  8.596297e+00  65.0
  1.358584  0.000000  0.369612  1.206711e+01  65.0
  1.399017  0.000000  0.282903  9.995668e+00  65.0
  1.358584  0.000000  0.369612  1.206711e+01  65.0
  1.318151  0.000000  0.456320  8.596297e+00  65.0
  1.358584  0.000000  0.369612  1.206711e+01  65.0
  1.399017  0.000000  0.282903  9.995668e+00  65.0
  1.358584  0.000000  0.369612  1.206711e+01  65.0
  1.318151  0.000000  0.456320  8.596297e+00  65.0
  1.358584  0.000000  0.369612  1.206711e+01  65.0
  1.399017  0.000000  0.282903  9.995668e+00  65.0
  1.195173  0.000000  0.078665  4.612233e+01  70.0
  1.162451  0.000000  0.168567  3.754936e+01  70.0
  1.195173  0.000000  0.078665  4.612233e+01  70.0
