# 3D Scattering Centers Reconstruction
# Model: rocket
# Reference point: [0.0000, 0.0000, 0.9500] m
# Center angles (deg): 0   30   60   90  120  150  180
# Aperture: 3.0 deg
# Total centers: 210
#
# Columns: x(m)  y(m)  z(m)  amplitude  source_theta(deg)
  0.000000  0.000000  2.900000  9.010358e+00  0.0
  -0.083699  0.000000  2.900000  5.398528e+00  0.0
  0.041849  0.000000  2.900000  7.708692e+00  0.0
  -0.041849  0.000000  2.900000  8.027059e+00  0.0
  0.041849  0.000000  2.900000  7.708692e+00  0.0
  -0.041849  0.000000  2.900000  8.027059e+00  0.0
  0.041849  0.000000  2.900000  7.708692e+00  0.0
  -0.041849  0.000000  2.900000  8.027059e+00  0.0
  0.041849  0.000000  2.900000  7.708692e+00  0.0
  -0.041849  0.000000  2.900000  8.027059e+00  0.0
  0.041849  0.000000  2.900000  7.708692e+00  0.0
  -0.041849  0.000000  2.900000  8.027059e+00  0.0
  0.041849  0.000000  2.900000  7.708692e+00  0.0
  -0.041849  0.000000  2.900000  8.027059e+00  0.0
  0.041849  0.000000  2.900000  7.708692e+00  0.0
  -0.041849  0.000000  2.900000  8.027059e+00  0.0
  0.041849  0.000000  2.900000  7.708692e+00  0.0
  -0.041849  0.000000  2.900000  8.027059e+00  0.0
  0.041849  0.000000  2.900000  7.708692e+00  0.0
  -0.041849  0.000000  2.900000  8.027059e+00  0.0
  0.041849  0.000000  2.900000  7.708692e+00  0.0
  -0.041849  0.000000  2.900000  8.027059e+00  0.0
  0.041849  0.000000  2.900000  7.708692e+00  0.0
  -0.041849  0.000000  2.900000  8.027059e+00  0.0
  0.041849  0.000000  2.900000  7.708692e+00  0.0
  -0.041849  0.000000  2.900000  8.027059e+00  0.0
  0.041849  0.000000  2.900000  7.708692e+00  0.0
  -0.041849  0.000000  2.900000  8.027059e+00  0.0
  0.041849  0.000000  2.900000  7.708692e+00  0.0
  -0.041849  0.000000  2.900000  8.027059e+00  0.0
  1.067864  0.000000  2.327955  1.372861e+01  30.0
  1.150718  0.000000  2.280119  9.391200e+00  30.0
  1.067864  0.000000  2.327955  1.372861e+01  30.0
  1.115541  0.000000  2.314862  1.173929e+01  30.0
  1.020187  0.000000  2.341048  9.968544e+00  30.0
  1.067864  0.000000  2.327955  1.372861e+01  30.0
  1.150718  0.000000  2.280119  9.391200e+00  30.0
  1.067864  0.000000  2.327955  1.372861e+01  30.0
  1.150718  0.000000  2.280119  9.391200e+00  30.0
  1.067864  0.000000  2.327955  1.372861e+01  30.0
  1.026437  0.000000  2.351873  1.200382e+01  30.0
  1.109291  0.000000  2.304037  1.267838e+01  30.0
  1.026437  0.000000  2.351873  1.200382e+01  30.0
  1.109291  0.000000  2.304037  1.267838e+01  30.0
  1.026437  0.000000  2.351873  1.200382e+01  30.0
  1.109291  0.000000  2.304037  1.267838e+01  30.0
  1.026437  0.000000  2.351873  1.200382e+01  30.0
  1.109291  0.000000  2.304037  1.267838e+01  30.0
  1.192146  0.000000  2.256201  5.513154e+00  30.0
  1.109291  0.000000  2.304037  1.267838e+01  30.0
  1.026437  0.000000  2.351873  1.200382e+01  30.0
  1.109291  0.000000  2.304037  1.267838e+01  30.0
  1.192146  0.000000  2.256201  5.513154e+00  30.0
  1.109291  0.000000  2.304037  1.267838e+01  30.0
  1.026437  0.000000  2.351873  1.200382e+01  30.0
  1.109291  0.000000  2.304037  1.267838e+01  30.0
  1.192146  0.000000  2.256201  5.513154e+00  30.0
  1.109291  0.000000  2.304037  1.267838e+01  30.0
  1.026437  0.000000  2.351873  1.200382e+01  30.0
  1.109291  0.000000  2.304037  1.267838e+01  30.0
  1.529149  0.000000  0.551437  9.130685e+00  60.0
  1.481313  0.000000  0.634291  7.896547e+00  60.0
  1.529149  0.000000  0.551437  9.130685e+00  60.0
  1.481313  0.000000  0.634291  7.896547e+00  60.0
  1.529149  0.000000  0.551437  9.130685e+00  60.0
  1.563892  0.000000  0.516259  8.142800e+00  60.0
  1.516056  0.000000  0.599114  8.547136e+00  60.0
  1.481313  0.000000  0.634291  7.896547e+00  60.0
  1.529149  0.000000  0.551437  9.130685e+00  60.0
  1.563892  0.000000  0.516259  8.142800e+00  60.0
  1.516056  0.000000  0.599114  8.547136e+00  60.0
  1.481313  0.000000  0.634291  7.896547e+00  60.0
  1.529149  0.000000  0.551437  9.130685e+00  60.0
  1.563892  0.000000  0.516259  8.142800e+00  60.0
  1.516056  0.000000  0.599114  8.547136e+00  60.0
  1.481313  0.000000  0.634291  7.896547e+00  60.0
  1.529149  0.000000  0.551437  9.130685e+00  60.0
  1.563892  0.000000  0.516259  8.142800e+00  60.0
  1.516056  0.000000  0.599114  8.547136e+00  60.0
  1.481313  0.000000  0.634291  7.896547e+00  60.0
  1.446569  0.000000  0.669468  5.697260e+00  60.0
  1.494405  0.000000  0.586614  7.527832e+00  60.0
  1.529149  0.000000  0.551437  9.130685e+00  60.0
  1.563892  0.000000  0.516259  8.142800e+00  60.0
  1.516056  0.000000  0.599114  8.547136e+00  60.0
  1.481313  0.000000  0.634291  7.896547e+00  60.0
  1.446569  0.000000  0.669468  5.697260e+00  60.0
  1.494405  0.000000  0.586614  7.527832e+00  60.0
  1.529149  0.000000  0.551437  9.130685e+00  60.0
  1.563892  0.000000  0.516259  8.142800e+00  60.0
  0.500000  0.000000  0.143508  2.444374e+02  90.0
  0.500000  0.000000  0.239180  2.154910e+02  90.0
  0.500000  0.000000  0.143508  2.444374e+02  90.0
  0.500000  0.000000  0.047836  1.902224e+02  90.0
  0.500000  0.000000  0.143508  2.444374e+02  90.0
  0.500000  0.000000  0.239180  2.154910e+02  90.0
  0.500000  0.000000  0.143508  2.444374e+02  90.0
  0.500000  0.000000  0.047836  1.902224e+02  90.0
  0.500000  0.000000  0.143508  2.444374e+02  90.0
  0.500000  0.000000  0.239180  2.154910e+02  90.0
  0.500000  0.000000  0.143508  2.444374e+02  90.0
  0.500000  0.000000  0.047836  1.902224e+02  90.0
  0.500000  0.000000  0.143508  2.444374e+02  90.0
  0.500000  0.000000  0.239180  2.154910e+02  90.0
  0.500000  0.000000  0.143508  2.444374e+02  90.0
  0.500000  0.000000  0.047836  1.902224e+02  90.0
  0.500000  0.000000  0.143508  2.444374e+02  90.0
  0.500000  0.000000  0.239180  2.154910e+02  90.0
  0.500000  0.000000  0.143508  2.444374e+02  90.0
  0.500000  0.000000  0.047836  1.902224e+02  90.0
  0.500000  0.000000  0.143508  2.444374e+02  90.0
  0.500000  0.000000  0.239180  2.154910e+02  90.0
  0.500000  0.000000  0.143508  2.444374e+02  90.0
  0.500000  0.000000  0.047836  1.902224e+02  90.0
  0.500000  0.000000  0.143508  2.444374e+02  90.0
  0.500000  0.000000  0.239180  2.154910e+02  90.0
