# 3D Scattering Centers Reconstruction
# Model: rocket
# Reference point: [0.0000, 0.0000, 0.9500] m
# Center angles (deg): 0   15   30   45   60   75   90  105  120  135  150  165  180  195  210  225  240  255  270  285  300  315  330  345  360
# Aperture: 10.0 deg
# Total centers: 750
#
# Columns: x(m)  y(m)  z(m)  amplitude  source_theta(deg)
  -0.050756  0.000000  2.900000  2.771100e+01  0.0
  0.050756  0.000000  2.900000  1.720847e+01  0.0
  -0.050756  0.000000  2.900000  2.771100e+01  0.0
  -0.101512  0.000000  2.887500  1.796893e+01  0.0
  0.000000  0.000000  2.912500  2.042594e+01  0.0
  -0.050756  0.000000  2.900000  2.771100e+01  0.0
  -0.152268  0.000000  2.900000  1.060028e+01  0.0
  -0.050756  0.000000  2.900000  2.771100e+01  0.0
  0.050756  0.000000  2.900000  1.720847e+01  0.0
  -0.050756  0.000000  2.900000  2.771100e+01  0.0
  -0.152268  0.000000  2.900000  1.060028e+01  0.0
  -0.050756  0.000000  2.900000  2.771100e+01  0.0
  0.050756  0.000000  2.900000  1.720847e+01  0.0
  -0.050756  0.000000  2.900000  2.771100e+01  0.0
  -0.152268  0.000000  2.900000  1.060028e+01  0.0
  -0.050756  0.000000  2.900000  2.771100e+01  0.0
  0.050756  0.000000  2.900000  1.720847e+01  0.0
  -0.050756  0.000000  2.900000  2.771100e+01  0.0
  -0.152268  0.000000  2.900000  1.060028e+01  0.0
  -0.050756  0.000000  2.900000  2.771100e+01  0.0
  0.050756  0.000000  2.900000  1.720847e+01  0.0
  -0.050756  0.000000  2.900000  2.771100e+01  0.0
  -0.152268  0.000000  2.900000  1.060028e+01  0.0
  -0.050756  0.000000  2.900000  2.771100e+01  0.0
  0.050756  0.000000  2.900000  1.720847e+01  0.0
  -0.050756  0.000000  2.900000  2.771100e+01  0.0
  -0.152268  0.000000  2.900000  1.060028e+01  0.0
  -0.050756  0.000000  2.900000  2.771100e+01  0.0
  0.050756  0.000000  2.900000  1.720847e+01  0.0
  0.304535  0.000000  2.900000  3.866978e-01  0.0
  0.316256  0.000000  2.826974  3.293333e+01  15.0
  0.370950  0.000000  2.825259  3.192046e+01  15.0
  0.261562  0.000000  2.828688  2.740263e+01  15.0
  0.316256  0.000000  2.826974  3.293333e+01  15.0
  0.425645  0.000000  2.823545  2.442277e+01  15.0
  0.370950  0.000000  2.825259  3.192046e+01  15.0
  0.264797  0.000000  2.840762  2.906987e+01  15.0
  0.210103  0.000000  2.842476  2.248662e+01  15.0
  0.319491  0.000000  2.839048  3.050989e+01  15.0
  0.264797  0.000000  2.840762  2.906987e+01  15.0
  0.422409  0.000000  2.811471  2.893561e+01  15.0
  0.367715  0.000000  2.813185  3.251842e+01  15.0
  0.470633  0.000000  2.785608  2.074402e+01  15.0
  0.206867  0.000000  2.830402  1.858832e+01  15.0
  0.261562  0.000000  2.828688  2.740263e+01  15.0
  0.316256  0.000000  2.826974  3.293333e+01  15.0
  0.419174  0.000000  2.799397  2.792656e+01  15.0
  0.525328  0.000000  2.783894  1.463319e+01  15.0
  0.213338  0.000000  2.854551  2.243502e+01  15.0
  0.316256  0.000000  2.826974  3.293333e+01  15.0
  0.419174  0.000000  2.799397  2.792656e+01  15.0
  0.522092  0.000000  2.771820  1.313399e+01  15.0
  0.313021  0.000000  2.814900  2.931920e+01  15.0
  0.367715  0.000000  2.813185  3.251842e+01  15.0
  0.422409  0.000000  2.811471  2.893561e+01  15.0
  0.210103  0.000000  2.842476  2.248662e+01  15.0
  0.264797  0.000000  2.840762  2.906987e+01  15.0
  0.367715  0.000000  2.813185  3.251842e+01  15.0
  0.313021  0.000000  2.814900  2.931920e+01  15.0
  0.261562  0.000000  2.828688  2.740263e+01  15.0
  0.629083  0.000000  2.581285  2.055679e+01  30.0
  0.576696  0.000000  2.597097  1.967375e+01  30.0
  0.524309  0.000000  2.612909  1.743415e+01  30.0
  0.681470  0.000000  2.565473  1.974531e+01  30.0
  0.629083  0.000000  2.581285  2.055679e+01  30.0
  0.576696  0.000000  2.597097  1.967375e+01  30.0
  0.733857  0.000000  2.549661  1.733429e+01  30.0
  0.681470  0.000000  2.565473  1.974531e+01  30.0
  0.629083  0.000000  2.581285  2.055679e+01  30.0
  0.530559  0.000000  2.623734  1.867544e+01  30.0
  0.582946  0.000000  2.607922  2.026497e+01  30.0
  0.478172  0.000000  2.639546  1.599394e+01  30.0
  0.530559  0.000000  2.623734  1.867544e+01  30.0
  0.635333  0.000000  2.592111  2.031138e+01  30.0
  0.582946  0.000000  2.607922  2.026497e+01  30.0
  0.715107  0.000000  2.517186  1.630547e+01  30.0
  0.767494  0.000000  2.501374  1.485811e+01  30.0
  0.662720  0.000000  2.532997  1.637226e+01  30.0
  0.715107  0.000000  2.517186  1.630547e+01  30.0
  0.530559  0.000000  2.623734  1.867544e+01  30.0
  0.438285  0.000000  2.677009  1.472717e+01  30.0
  0.622833  0.000000  2.570460  1.967458e+01  30.0
  0.530559  0.000000  2.623734  1.867544e+01  30.0
  0.484422  0.000000  2.650371  1.693769e+01  30.0
  0.576696  0.000000  2.597097  1.967375e+01  30.0
  0.668970  0.000000  2.543823  1.851638e+01  30.0
  0.432035  0.000000  2.666183  1.400374e+01  30.0
  0.484422  0.000000  2.650371  1.693769e+01  30.0
  0.536809  0.000000  2.634560  1.902592e+01  30.0
  0.589196  0.000000  2.618748  1.980944e+01  30.0
  0.766867  0.000000  2.273693  1.398662e+01  45.0
  0.813376  0.000000  2.244861  1.349149e+01  45.0
  0.859886  0.000000  2.216029  1.235073e+01  45.0
  0.749189  0.000000  2.256015  1.357630e+01  45.0
  0.824530  0.000000  2.180674  1.263706e+01  45.0
  0.899871  0.000000  2.105332  1.041243e+01  45.0
  0.758028  0.000000  2.264854  1.395940e+01  45.0
  0.804537  0.000000  2.236022  1.383092e+01  45.0
  0.879878  0.000000  2.160681  1.228139e+01  45.0
  0.955220  0.000000  2.085339  9.660919e+00  45.0
  0.833369  0.000000  2.189512  1.315924e+01  45.0
  0.879878  0.000000  2.160681  1.228139e+01  45.0
  0.935227  0.000000  2.140688  1.046739e+01  45.0
  2.311363  0.000000  0.729196  1.392484e+01  45.0
  2.264854  0.000000  0.758028  1.366473e+01  45.0
  2.218344  0.000000  0.786860  1.309365e+01  45.0
  2.171835  0.000000  0.815691  1.231955e+01  45.0
  2.125325  0.000000  0.844523  1.125937e+01  45.0
  2.329041  0.000000  0.746874  1.307109e+01  45.0
  2.282531  0.000000  0.775705  1.356348e+01  45.0
  2.236022  0.000000  0.804537  1.359751e+01  45.0
