# 3D Scattering Centers from SAR Imaging
# Model: compond
# Center angles (deg): 30   60   90  120  150
# Sub-aperture: 10.0 deg
# Window: hamming, CLEAN: maxIter=50, thresh=0.05, gain=0.50
# Total centers: 250
# Phase convention corrected: P_3d = -r*k_hat - x*k_perp
#
# Columns: x(m)  y(m)  z(m)  amplitude  source_theta(deg)
  0.065353  0.000000  0.972631  1.515770e-04  30.0
  -0.015326  0.000000  1.004778  1.606787e-04  30.0
  0.146032  0.000000  0.940485  1.516152e-04  30.0
  -0.009076  0.000000  1.015603  1.470831e-04  30.0
  -0.089756  0.000000  1.047750  1.532231e-04  30.0
  0.071603  0.000000  0.983457  1.500818e-04  30.0
  -0.009076  0.000000  1.015603  1.327264e-04  30.0
  0.065353  0.000000  0.972631  1.284617e-04  30.0
  -0.015326  0.000000  1.004778  1.269748e-04  30.0
  -0.096006  0.000000  1.036924  1.456268e-04  30.0
  -0.089756  0.000000  1.047750  1.149333e-04  30.0
  -0.170435  0.000000  1.079896  1.199151e-04  30.0
  0.152282  0.000000  0.951310  1.140560e-04  30.0
  0.071603  0.000000  0.983457  1.149240e-04  30.0
  -0.009076  0.000000  1.015603  1.318590e-04  30.0
  -0.089756  0.000000  1.047750  1.075231e-04  30.0
  -0.096006  0.000000  1.036924  1.048593e-04  30.0
  -0.015326  0.000000  1.004778  1.190439e-04  30.0
  0.065353  0.000000  0.972631  1.180600e-04  30.0
  0.146032  0.000000  0.940485  1.147912e-04  30.0
  -0.176685  0.000000  1.069071  9.933117e-05  30.0
  -0.009076  0.000000  1.015603  9.656916e-05  30.0
  0.071603  0.000000  0.983457  1.069507e-04  30.0
  -0.089756  0.000000  1.047750  9.481046e-05  30.0
  -0.170435  0.000000  1.079896  1.090572e-04  30.0
  -0.096006  0.000000  1.036924  1.002881e-04  30.0
  -0.015326  0.000000  1.004778  1.083534e-04  30.0
  0.065353  0.000000  0.972631  1.089165e-04  30.0
  0.207962  0.000000  0.875862  9.818304e-05  30.0
  -0.009076  0.000000  1.015603  9.483933e-05  30.0
  -0.089756  0.000000  1.047750  1.017906e-04  30.0
  0.152282  0.000000  0.951310  9.577860e-05  30.0
  0.071603  0.000000  0.983457  9.956339e-05  30.0
  -0.164185  0.000000  1.090722  9.472804e-05  30.0
  -0.083506  0.000000  1.058575  9.437479e-05  30.0
  0.121032  0.000000  0.897184  9.428041e-05  30.0
  -0.009076  0.000000  1.015603  9.042694e-05  30.0
  -0.002826  0.000000  1.026429  9.617482e-05  30.0
  -0.089756  0.000000  1.047750  9.429731e-05  30.0
  -0.170435  0.000000  1.079896  9.062039e-05  30.0
  -0.176685  0.000000  1.069071  9.751785e-05  30.0
  -0.096006  0.000000  1.036924  1.038553e-04  30.0
  -0.015326  0.000000  1.004778  1.065200e-04  30.0
  0.077853  0.000000  0.994282  9.302416e-05  30.0
  -0.009076  0.000000  1.015603  8.766984e-05  30.0
  -0.089756  0.000000  1.047750  9.595868e-05  30.0
  0.040353  0.000000  0.929330  8.554023e-05  30.0
  -0.002826  0.000000  1.026429  8.504694e-05  30.0
  -0.083506  0.000000  1.058575  9.080517e-05  30.0
  -0.102256  0.000000  1.026099  8.908483e-05  30.0
  0.507802  0.000000  -0.004538  3.764985e-04  60.0
  0.464830  0.000000  0.069891  3.865455e-04  60.0
  0.518627  0.000000  0.001712  3.968756e-04  60.0
  0.561599  0.000000  -0.072718  3.660439e-04  60.0
  0.507802  0.000000  -0.004538  3.167668e-04  60.0
  0.454004  0.000000  0.063641  3.466174e-04  60.0
  0.550773  0.000000  -0.078968  3.021870e-04  60.0
  0.496976  0.000000  -0.010788  2.927212e-04  60.0
  0.475655  0.000000  0.076141  2.733953e-04  60.0
  0.421858  0.000000  0.144321  2.891085e-04  60.0
  0.518627  0.000000  0.001712  2.629003e-04  60.0
  0.464830  0.000000  0.069891  2.934352e-04  60.0
  0.561599  0.000000  -0.072718  2.917984e-04  60.0
  0.507802  0.000000  -0.004538  3.264636e-04  60.0
  0.411033  0.000000  0.138071  2.772532e-04  60.0
  0.464830  0.000000  0.069891  2.829944e-04  60.0
  0.518627  0.000000  0.001712  2.710744e-04  60.0
  0.572424  0.000000  -0.066468  3.061110e-04  60.0
  0.561599  0.000000  -0.072718  2.577301e-04  60.0
  0.615396  0.000000  -0.140897  2.825069e-04  60.0
  0.507802  0.000000  -0.004538  2.626042e-04  60.0
  0.454004  0.000000  0.063641  2.613665e-04  60.0
  0.604571  0.000000  -0.147147  2.421343e-04  60.0
  0.561599  0.000000  -0.072718  2.817216e-04  60.0
  0.550773  0.000000  -0.078968  2.604872e-04  60.0
  0.507802  0.000000  -0.004538  2.664154e-04  60.0
  0.464830  0.000000  0.069891  2.680069e-04  60.0
  0.411033  0.000000  0.138071  2.861395e-04  60.0
  0.518627  0.000000  0.001712  2.530525e-04  60.0
  0.561599  0.000000  -0.072718  2.507034e-04  60.0
  0.604571  0.000000  -0.147147  2.547737e-04  60.0
  0.475655  0.000000  0.076141  2.569322e-04  60.0
  0.432683  0.000000  0.150571  2.600155e-04  60.0
  0.518627  0.000000  0.001712  2.547455e-04  60.0
  0.475655  0.000000  0.076141  2.633869e-04  60.0
  0.389711  0.000000  0.225000  2.495324e-04  60.0
  0.561599  0.000000  -0.072718  2.483347e-04  60.0
  0.518627  0.000000  0.001712  2.674534e-04  60.0
  0.432683  0.000000  0.150571  2.542278e-04  60.0
  0.475655  0.000000  0.076141  2.530781e-04  60.0
  0.378886  0.000000  0.218750  2.244383e-04  60.0
  0.421858  0.000000  0.144321  2.699736e-04  60.0
  0.464830  0.000000  0.069891  2.418163e-04  60.0
  0.518627  0.000000  0.001712  2.352229e-04  60.0
  0.561599  0.000000  -0.072718  2.617598e-04  60.0
  0.615396  0.000000  -0.140897  2.599449e-04  60.0
  0.507802  0.000000  -0.004538  2.511998e-04  60.0
  0.572424  0.000000  -0.066468  2.477302e-04  60.0
  0.368061  0.000000  0.212500  2.242853e-04  60.0
  0.518627  0.000000  0.001712  2.230878e-04  60.0
  0.500000  0.000000  -0.343775  2.892367e-03  90.0
  0.512500  0.000000  -0.429718  3.013958e-03  90.0
  0.500000  0.000000  -0.257831  2.852243e-03  90.0
  0.512500  0.000000  -0.343775  2.764843e-03  90.0
  0.512500  0.000000  -0.515662  2.608771e-03  90.0
  0.500000  0.000000  -0.171887  2.532185e-03  90.0
  0.500000  0.000000  -0.429718  2.527332e-03  90.0
  0.487500  0.000000  -0.171887  2.373712e-03  90.0
  0.500000  0.000000  -0.257831  2.683259e-03  90.0
  0.512500  0.000000  -0.687549  2.404420e-03  90.0
  0.500000  0.000000  -0.601606  2.332013e-03  90.0
  0.512500  0.000000  -0.601606  2.260333e-03  90.0
  0.500000  0.000000  -0.515662  2.352051e-03  90.0
  0.512500  0.000000  -0.773493  2.196351e-03  90.0
  0.487500  0.000000  -0.257831  2.134612e-03  90.0
  0.500000  0.000000  -0.343775  2.415476e-03  90.0
  0.487500  0.000000  -0.085944  2.236888e-03  90.0
  0.500000  0.000000  -0.687549  1.977488e-03  90.0
  0.525000  0.000000  -0.859437  1.869303e-03  90.0
  0.512500  0.000000  -0.773493  1.948540e-03  90.0
  0.487500  0.000000  -0.171887  1.698804e-03  90.0
  0.512500  0.000000  -0.515662  1.695590e-03  90.0
  0.500000  0.000000  -0.429718  1.838991e-03  90.0
  0.487500  0.000000  -0.343775  1.978163e-03  90.0
  0.512500  0.000000  -0.687549  1.804287e-03  90.0
  0.525000  0.000000  -0.773493  2.145018e-03  90.0
  0.525000  0.000000  -0.945380  1.696329e-03  90.0
  0.500000  0.000000  -0.515662  1.625718e-03  90.0
  0.487500  0.000000  -0.429718  1.849555e-03  90.0
  0.512500  0.000000  -0.601606  1.722382e-03  90.0
  0.525000  0.000000  -0.687549  1.629557e-03  90.0
  0.487500  0.000000  -0.257831  1.638155e-03  90.0
  0.500000  0.000000  -0.515662  1.646297e-03  90.0
  0.512500  0.000000  -0.859437  1.623651e-03  90.0
  0.500000  0.000000  -0.601606  1.601324e-03  90.0
  0.487500  0.000000  -0.515662  1.674005e-03  90.0
  0.512500  0.000000  -0.687549  1.639422e-03  90.0
  0.475000  0.000000  -0.085944  1.618371e-03  90.0
  0.512500  0.000000  -0.601606  1.518471e-03  90.0
  0.500000  0.000000  -0.343775  1.592306e-03  90.0
  0.525000  0.000000  -0.859437  1.475564e-03  90.0
  0.537500  0.000000  -0.945380  1.526785e-03  90.0
  0.512500  0.000000  -0.773493  1.475875e-03  90.0
  0.500000  0.000000  -0.601606  1.456078e-03  90.0
  0.487500  0.000000  -0.171887  1.486359e-03  90.0
  0.500000  0.000000  -0.257831  1.622603e-03  90.0
  0.500000  0.000000  -0.773493  1.391228e-03  90.0
  0.487500  0.000000  -0.085944  1.381689e-03  90.0
  0.500000  0.000000  -0.171887  1.407315e-03  90.0
  0.500000  0.000000  -0.429718  1.435617e-03  90.0
  0.072812  -0.000000  0.851115  1.256901e-04  120.0
  0.104959  -0.000000  0.931794  1.345578e-04  120.0
  0.040666  -0.000000  0.770435  1.338544e-04  120.0
  0.072812  -0.000000  0.851115  1.144601e-04  120.0
  0.115784  -0.000000  0.925544  1.122619e-04  120.0
  0.083638  -0.000000  0.844865  1.221194e-04  120.0
  0.051491  -0.000000  0.764185  1.025227e-04  120.0
  0.094134  -0.000000  0.938044  1.007905e-04  120.0
  0.061987  -0.000000  0.857365  1.078766e-04  120.0
  0.029840  -0.000000  0.776685  1.008027e-04  120.0
  -0.786624  0.000000  -0.637473  1.008316e-04  120.0
  -0.775799  0.000000  -0.643723  1.061357e-04  120.0
  -0.797450  0.000000  -0.631223  9.976878e-05  120.0
  -0.764974  0.000000  -0.649973  9.462902e-05  120.0
  -0.002306  -0.000000  0.696006  9.421618e-05  120.0
  0.104959  -0.000000  0.931794  8.991041e-05  120.0
  0.072812  -0.000000  0.851115  9.196012e-05  120.0
  -0.754478  0.000000  -0.556794  8.929800e-05  120.0
  -0.786624  0.000000  -0.637473  9.272537e-05  120.0
  -0.743653  0.000000  -0.563044  8.590190e-05  120.0
  -0.775799  0.000000  -0.643723  9.070861e-05  120.0
  -0.765303  0.000000  -0.550544  8.349846e-05  120.0
  -0.023957  -0.000000  0.708506  8.257405e-05  120.0
  -0.754148  0.000000  -0.656223  8.211991e-05  120.0
  0.061987  -0.000000  0.857365  7.953754e-05  120.0
  0.094134  -0.000000  0.938044  8.943645e-05  120.0
  0.104959  -0.000000  0.931794  8.054711e-05  120.0
  0.029840  -0.000000  0.776685  7.929477e-05  120.0
  0.061987  -0.000000  0.857365  8.205525e-05  120.0
  -0.066929  -0.000000  0.634076  8.292020e-05  120.0
  -0.034782  -0.000000  0.714756  8.825699e-05  120.0
  -0.808275  0.000000  -0.624973  7.852927e-05  120.0
  0.083308  -0.000000  0.944294  7.456265e-05  120.0
  0.094134  -0.000000  0.938044  7.522687e-05  120.0
  0.051162  -0.000000  0.863615  8.042727e-05  120.0
  0.008190  -0.000000  0.789185  7.659404e-05  120.0
  -0.732827  0.000000  -0.569294  7.057964e-05  120.0
  -0.764974  0.000000  -0.649973  7.929697e-05  120.0
  -0.797450  0.000000  -0.631223  7.673446e-05  120.0
  -0.765303  0.000000  -0.550544  7.411804e-05  120.0
  -0.754478  0.000000  -0.556794  7.658141e-05  120.0
  -0.722331  0.000000  -0.476115  7.702599e-05  120.0
  -0.786624  0.000000  -0.637473  7.268123e-05  120.0
  0.094463  -0.000000  0.838615  7.110205e-05  120.0
  0.126609  -0.000000  0.919294  7.204567e-05  120.0
  0.511096  0.000000  -0.989756  7.044219e-05  120.0
  0.543242  0.000000  -0.909076  7.331359e-05  120.0
  0.478949  0.000000  -1.070435  7.055035e-05  120.0
  -0.743323  0.000000  -0.662473  6.955820e-05  120.0
  -0.775799  0.000000  -0.643723  7.397257e-05  120.0
  0.028397  -0.000000  0.810252  1.666540e-04  150.0
  0.096576  -0.000000  0.864049  1.727937e-04  150.0
  -0.039782  -0.000000  0.756454  1.494674e-04  150.0
  0.102826  -0.000000  0.853223  1.453857e-04  150.0
  0.034647  -0.000000  0.799426  1.465788e-04  150.0
