# 3D Scattering Centers Reconstruction
# Model: cone_bin
# Reference point: [0.0000, 0.0000, 0.3750] m
# Center angles (deg): 45   90  135
# Aperture: 10.0 deg
# Total centers: 45
#
# Columns: x(m)  y(m)  z(m)  amplitude  source_theta(deg)
  -0.403285  0.000000  0.336343  1.535952e-04  45.0
  -0.464056  0.000000  0.397115  1.630297e-04  45.0
  -0.394446  0.000000  0.345182  1.717532e-04  45.0
  -0.333675  0.000000  0.284411  1.352147e-04  45.0
  -0.472895  0.000000  0.388276  1.324596e-04  45.0
  -0.403285  0.000000  0.336343  1.453214e-04  45.0
  -0.533666  0.000000  0.449047  1.257269e-04  45.0
  -0.464056  0.000000  0.397115  1.455324e-04  45.0
  -0.342514  0.000000  0.275572  1.119511e-04  45.0
  -0.524828  0.000000  0.457886  1.107818e-04  45.0
  -0.455217  0.000000  0.405953  1.273703e-04  45.0
  -0.594438  0.000000  0.509818  9.758716e-05  45.0
  -0.272903  0.000000  0.223639  9.701247e-05  45.0
  -0.464056  0.000000  0.397115  9.630100e-05  45.0
  -0.533666  0.000000  0.449047  1.155868e-04  45.0
  -0.437500  0.000000  0.375000  7.159023e-05  90.0
  -0.425000  0.000000  0.289056  7.052277e-05  90.0
  -0.437500  0.000000  0.460944  6.076016e-05  90.0
  -0.425000  0.000000  0.375000  7.134555e-05  90.0
  -0.450000  0.000000  0.460944  4.956816e-05  90.0
  -0.437500  0.000000  0.375000  5.642627e-05  90.0
  -0.425000  0.000000  0.289056  4.960314e-05  90.0
  -0.412500  0.000000  0.289056  4.627868e-05  90.0
  -0.425000  0.000000  0.375000  4.733808e-05  90.0
  -0.437500  0.000000  0.460944  5.061415e-05  90.0
  -0.450000  0.000000  0.546887  4.572803e-05  90.0
  -0.437500  0.000000  0.375000  3.867811e-05  90.0
  -0.450000  0.000000  0.460944  4.136005e-05  90.0
  -0.437500  0.000000  0.289056  3.735041e-05  90.0
  -0.425000  0.000000  0.203113  4.281177e-05  90.0
  -0.403285  0.000000  0.413657  5.030646e-05  135.0
  -0.455217  0.000000  0.344047  6.164960e-05  135.0
  -0.394446  0.000000  0.404818  4.449926e-05  135.0
  -0.342514  0.000000  0.474428  4.968819e-05  135.0
  -0.515989  0.000000  0.283275  4.691524e-05  135.0
  -0.464056  0.000000  0.352885  4.375250e-05  135.0
  0.455217  0.000000  0.405953  3.994577e-05  135.0
  0.403285  0.000000  0.336343  4.860948e-05  135.0
  -0.507150  0.000000  0.274436  3.778343e-05  135.0
  -0.455217  0.000000  0.344047  4.595243e-05  135.0
  -0.403285  0.000000  0.413657  4.408897e-05  135.0
  -0.351352  0.000000  0.483267  3.794621e-05  135.0
  0.515989  0.000000  0.466725  3.446437e-05  135.0
  0.464056  0.000000  0.397115  4.265649e-05  135.0
  0.412124  0.000000  0.327504  3.626950e-05  135.0
