# 3D Scattering Centers Reconstruction
# Model: cone_bin
# Reference point: [0.0000, 0.0000, 0.3750] m
# Center angles (deg): 30   60   90  120  150
# Aperture: 10.0 deg
# Total centers: 150
#
# Columns: x(m)  y(m)  z(m)  amplitude  source_theta(deg)
  0.349948  0.000000  0.043561  6.597982e-05  30.0
  0.423837  0.000000  0.015279  7.952409e-05  30.0
  0.497726  0.000000  -0.013004  6.332146e-05  30.0
  0.276060  0.000000  0.071843  6.375612e-05  30.0
  0.349948  0.000000  0.043561  6.105170e-05  30.0
  0.423837  0.000000  0.015279  6.417184e-05  30.0
  0.491500  0.000000  -0.023787  5.908013e-05  30.0
  0.417611  0.000000  0.004496  6.613683e-05  30.0
  0.565389  0.000000  -0.052069  5.691431e-05  30.0
  0.343723  0.000000  0.032778  5.778335e-05  30.0
  0.491500  0.000000  -0.023787  5.492825e-05  30.0
  0.417611  0.000000  0.004496  5.591564e-05  30.0
  0.288511  0.000000  0.093409  5.390133e-05  30.0
  0.214622  0.000000  0.121692  5.339679e-05  30.0
  0.497726  0.000000  -0.013004  4.669549e-05  30.0
  0.423837  0.000000  0.015279  5.731453e-05  30.0
  0.356174  0.000000  0.054344  5.124751e-05  30.0
  0.282285  0.000000  0.082626  5.108387e-05  30.0
  0.491500  0.000000  -0.023787  5.322694e-05  30.0
  0.565389  0.000000  -0.052069  5.559695e-05  30.0
  0.571614  0.000000  -0.041286  5.117557e-05  30.0
  0.497726  0.000000  -0.013004  5.011114e-05  30.0
  0.423837  0.000000  0.015279  5.216350e-05  30.0
  0.349948  0.000000  0.043561  5.314834e-05  30.0
  0.208397  0.000000  0.110908  4.858436e-05  30.0
  0.491500  0.000000  -0.023787  4.131877e-05  30.0
  0.417611  0.000000  0.004496  4.717946e-05  30.0
  0.282285  0.000000  0.082626  4.536800e-05  30.0
  0.565389  0.000000  -0.052069  4.534235e-05  30.0
  0.639277  0.000000  -0.080351  4.843449e-05  30.0
  0.278941  0.000000  0.265395  2.185473e-03  60.0
  0.328790  0.000000  0.203957  2.323325e-03  60.0
  0.200811  0.000000  0.400721  2.273555e-03  60.0
  0.150962  0.000000  0.462158  2.100281e-03  60.0
  0.239876  0.000000  0.333058  2.001077e-03  60.0
  0.289724  0.000000  0.271620  2.186939e-03  60.0
  0.367855  0.000000  0.136294  2.002541e-03  60.0
  0.318007  0.000000  0.197731  1.929237e-03  60.0
  0.190028  0.000000  0.394495  2.036592e-03  60.0
  0.239876  0.000000  0.333058  2.129281e-03  60.0
  0.111897  0.000000  0.529821  1.763196e-03  60.0
  0.161745  0.000000  0.468384  2.028376e-03  60.0
  0.406920  0.000000  0.068631  1.596379e-03  60.0
  0.357072  0.000000  0.130068  1.940340e-03  60.0
  0.278941  0.000000  0.265395  1.688613e-03  60.0
  0.229093  0.000000  0.326832  2.093528e-03  60.0
  0.367855  0.000000  0.136294  1.571371e-03  60.0
  0.417703  0.000000  0.074856  1.791936e-03  60.0
  0.318007  0.000000  0.197731  1.694212e-03  60.0
  0.268158  0.000000  0.259169  1.553401e-03  60.0
  0.367855  0.000000  0.136294  1.552964e-03  60.0
  0.328790  0.000000  0.203957  1.523971e-03  60.0
  0.278941  0.000000  0.265395  1.590498e-03  60.0
  0.406920  0.000000  0.068631  1.674708e-03  60.0
  0.456769  0.000000  0.007193  1.716515e-03  60.0
  0.150962  0.000000  0.462158  1.534613e-03  60.0
  0.200811  0.000000  0.400721  1.677463e-03  60.0
  0.072832  0.000000  0.597484  1.705310e-03  60.0
  0.122680  0.000000  0.536047  1.555836e-03  60.0
  0.250659  0.000000  0.339283  1.496038e-03  60.0
  0.435791  0.000000  0.062478  5.698686e-05  90.0
  0.423340  0.000000  0.140608  5.745683e-05  90.0
  0.435791  0.000000  -0.015653  5.681511e-05  90.0
  0.423340  0.000000  0.062478  5.841223e-05  90.0
  0.448242  0.000000  -0.015653  5.024961e-05  90.0
  0.435791  0.000000  0.062478  4.808846e-05  90.0
  0.448242  0.000000  -0.093784  4.341070e-05  90.0
  0.435791  0.000000  -0.015653  5.071113e-05  90.0
  0.423340  0.000000  0.140608  4.114342e-05  90.0
  0.423340  0.000000  0.062478  4.157345e-05  90.0
  0.410889  0.000000  0.140608  4.499930e-05  90.0
  0.435791  0.000000  -0.093784  3.588774e-05  90.0
  0.423340  0.000000  -0.015653  3.720283e-05  90.0
  0.448242  0.000000  -0.171914  3.625845e-05  90.0
  0.435791  0.000000  -0.015653  3.498199e-05  90.0
  0.448242  0.000000  -0.093784  4.240510e-05  90.0
  0.423340  0.000000  0.062478  3.737946e-05  90.0
  0.460693  0.000000  -0.171914  3.556195e-05  90.0
  0.423340  0.000000  0.218739  3.454057e-05  90.0
  0.435791  0.000000  -0.015653  3.701953e-05  90.0
  0.435791  0.000000  0.062478  3.688655e-05  90.0
  0.435791  0.000000  0.140608  3.777888e-05  90.0
  0.435791  0.000000  -0.093784  4.241019e-05  90.0
  0.448242  0.000000  -0.093784  3.423281e-05  90.0
  0.435791  0.000000  -0.015653  3.971595e-05  90.0
  0.448242  0.000000  -0.015653  3.093884e-05  90.0
  0.435791  0.000000  0.062478  3.632813e-05  90.0
  0.423340  0.000000  0.140608  3.867413e-05  90.0
  0.460693  0.000000  -0.093784  3.674426e-05  90.0
  0.410889  0.000000  0.218739  3.339277e-05  90.0
  0.446171  0.000000  0.027186  4.949480e-05  120.0
  0.417889  0.000000  -0.046703  5.111707e-05  120.0
  0.474453  0.000000  0.101074  4.158992e-05  120.0
  0.446171  0.000000  0.027186  4.328216e-05  120.0
  0.407106  0.000000  -0.040478  4.162761e-05  120.0
  0.435388  0.000000  0.033411  4.180269e-05  120.0
  0.378824  0.000000  -0.114366  3.933343e-05  120.0
  0.407106  0.000000  -0.040478  3.768014e-05  120.0
  0.485236  0.000000  0.094849  3.317005e-05  120.0
  0.513519  0.000000  0.168737  3.544682e-05  120.0
  0.446171  0.000000  0.027186  3.184703e-05  120.0
  0.417889  0.000000  -0.046703  3.660284e-05  120.0
  0.389607  0.000000  -0.120592  3.130153e-05  120.0
  0.474453  0.000000  0.101074  3.149480e-05  120.0
  0.446171  0.000000  0.027186  3.047926e-05  120.0
  0.417889  0.000000  -0.046703  3.092686e-05  120.0
  0.456954  0.000000  0.020960  3.138918e-05  120.0
  0.485236  0.000000  0.094849  3.599936e-05  120.0
  0.378824  0.000000  -0.114366  3.311118e-05  120.0
  0.407106  0.000000  -0.040478  2.684485e-05  120.0
  0.446171  0.000000  0.027186  2.898032e-05  120.0
  0.417889  0.000000  -0.046703  2.779248e-05  120.0
  0.513519  0.000000  0.168737  2.735462e-05  120.0
  0.485236  0.000000  0.094849  2.778918e-05  120.0
  0.456954  0.000000  0.020960  3.036399e-05  120.0
