# 3D Scattering Centers Reconstruction
# Model: cone_bin
# Reference point: [0.0000, 0.0000, 0.3750] m
# Center angles (deg): 15   30   45   60   75   90  105  120  135  150  165
# Aperture: 10.0 deg
# Total centers: 220
#
# Columns: x(m)  y(m)  z(m)  amplitude  source_theta(deg)
  0.388358  0.000000  0.013132  5.678328e-05  15.0
  0.309667  0.000000  0.021326  6.244089e-05  15.0
  0.467049  0.000000  0.004937  5.942441e-05  15.0
  0.388358  0.000000  0.013132  5.346673e-05  15.0
  0.463827  0.000000  -0.007090  4.841869e-05  15.0
  0.542518  0.000000  -0.015285  5.409724e-05  15.0
  0.312890  0.000000  0.033353  5.307477e-05  15.0
  0.234199  0.000000  0.041548  5.312981e-05  15.0
  0.391581  0.000000  0.025159  4.700817e-05  15.0
  0.312890  0.000000  0.033353  4.702593e-05  15.0
  0.467049  0.000000  0.004937  4.299250e-05  15.0
  0.545740  0.000000  -0.003258  4.834617e-05  15.0
  0.388358  0.000000  0.013132  4.469904e-05  15.0
  0.467049  0.000000  0.004937  4.173277e-05  15.0
  0.237421  0.000000  0.053575  4.088922e-05  15.0
  0.391581  0.000000  0.025159  4.062179e-05  15.0
  0.470272  0.000000  0.016964  4.657291e-05  15.0
  0.312890  0.000000  0.033353  3.914245e-05  15.0
  0.158731  0.000000  0.061770  3.910549e-05  15.0
  0.621209  0.000000  -0.023480  3.842847e-05  15.0
  0.349948  0.000000  0.043561  6.597982e-05  30.0
  0.423837  0.000000  0.015279  7.952409e-05  30.0
  0.497726  0.000000  -0.013004  6.332146e-05  30.0
  0.276060  0.000000  0.071843  6.375612e-05  30.0
  0.349948  0.000000  0.043561  6.105170e-05  30.0
  0.423837  0.000000  0.015279  6.417184e-05  30.0
  0.491500  0.000000  -0.023787  5.908013e-05  30.0
  0.417611  0.000000  0.004496  6.613683e-05  30.0
  0.565389  0.000000  -0.052069  5.691431e-05  30.0
  0.343723  0.000000  0.032778  5.778335e-05  30.0
  0.491500  0.000000  -0.023787  5.492825e-05  30.0
  0.417611  0.000000  0.004496  5.591564e-05  30.0
  0.288511  0.000000  0.093409  5.390133e-05  30.0
  0.214622  0.000000  0.121692  5.339679e-05  30.0
  0.497726  0.000000  -0.013004  4.669549e-05  30.0
  0.423837  0.000000  0.015279  5.731453e-05  30.0
  0.356174  0.000000  0.054344  5.124751e-05  30.0
  0.282285  0.000000  0.082626  5.108387e-05  30.0
  0.491500  0.000000  -0.023787  5.322694e-05  30.0
  0.565389  0.000000  -0.052069  5.559695e-05  30.0
  0.366697  0.000000  0.078737  1.179005e-04  45.0
  0.421944  0.000000  0.023490  1.290347e-04  45.0
  0.357893  0.000000  0.069933  1.398973e-04  45.0
  0.302646  0.000000  0.125180  1.208025e-04  45.0
  0.485995  0.000000  -0.022952  1.136290e-04  45.0
  0.421944  0.000000  0.023490  1.165715e-04  45.0
  0.413140  0.000000  0.014686  1.142303e-04  45.0
  0.477191  0.000000  -0.031756  1.333855e-04  45.0
  0.541242  0.000000  -0.078199  1.190259e-04  45.0
  0.366697  0.000000  0.078737  9.490657e-05  45.0
  0.430748  0.000000  0.032295  1.015567e-04  45.0
  0.485995  0.000000  -0.022952  1.010436e-04  45.0
  0.421944  0.000000  0.023490  1.064162e-04  45.0
  0.311451  0.000000  0.133984  1.040274e-04  45.0
  0.247400  0.000000  0.180426  1.133399e-04  45.0
  0.550046  0.000000  -0.069394  9.579025e-05  45.0
  0.485995  0.000000  -0.022952  9.514090e-05  45.0
  0.477191  0.000000  -0.031756  9.311128e-05  45.0
  0.366697  0.000000  0.078737  9.467446e-05  45.0
  0.302646  0.000000  0.125180  1.045003e-04  45.0
  0.278941  0.000000  0.265395  2.185473e-03  60.0
  0.328790  0.000000  0.203957  2.323325e-03  60.0
  0.200811  0.000000  0.400721  2.273555e-03  60.0
  0.150962  0.000000  0.462158  2.100281e-03  60.0
  0.239876  0.000000  0.333058  2.001077e-03  60.0
  0.289724  0.000000  0.271620  2.186939e-03  60.0
  0.367855  0.000000  0.136294  2.002541e-03  60.0
  0.318007  0.000000  0.197731  1.929237e-03  60.0
  0.190028  0.000000  0.394495  2.036592e-03  60.0
  0.239876  0.000000  0.333058  2.129281e-03  60.0
  0.111897  0.000000  0.529821  1.763196e-03  60.0
  0.161745  0.000000  0.468384  2.028376e-03  60.0
  0.406920  0.000000  0.068631  1.596379e-03  60.0
  0.357072  0.000000  0.130068  1.940340e-03  60.0
  0.278941  0.000000  0.265395  1.688613e-03  60.0
  0.229093  0.000000  0.326832  2.093528e-03  60.0
  0.367855  0.000000  0.136294  1.571371e-03  60.0
  0.417703  0.000000  0.074856  1.791936e-03  60.0
  0.318007  0.000000  0.197731  1.694212e-03  60.0
  0.268158  0.000000  0.259169  1.553401e-03  60.0
  0.413808  0.000000  0.081446  1.119025e-04  75.0
  0.381559  0.000000  0.153692  1.165739e-04  75.0
  0.446057  0.000000  0.009200  1.143425e-04  75.0
  0.434030  0.000000  0.005977  1.019723e-04  75.0
  0.401781  0.000000  0.078223  1.094355e-04  75.0
  0.466278  0.000000  -0.066268  1.070409e-04  75.0
  0.434030  0.000000  0.005977  9.603701e-05  75.0
  0.413808  0.000000  0.081446  8.847948e-05  75.0
  0.454251  0.000000  -0.069491  9.037106e-05  75.0
  0.486500  0.000000  -0.141737  8.719249e-05  75.0
  0.381559  0.000000  0.153692  8.579005e-05  75.0
  0.349311  0.000000  0.225937  7.628633e-05  75.0
  0.422003  0.000000  0.002755  7.666102e-05  75.0
  0.454251  0.000000  -0.069491  8.489102e-05  75.0
  0.466278  0.000000  -0.066268  7.696863e-05  75.0
  0.434030  0.000000  0.005977  8.452190e-05  75.0
  0.401781  0.000000  0.078223  8.328012e-05  75.0
  0.498527  0.000000  -0.138514  7.977318e-05  75.0
  0.466278  0.000000  -0.066268  7.255339e-05  75.0
  0.434030  0.000000  0.005977  7.393573e-05  75.0
