# 3D Scattering Centers Reconstruction
# Model: aim-7
# Reference point: [0.0532, 0.0000, 0.0000] m
# Center angles (deg): 30   60   90  120  150
# Aperture: 10.0 deg
# Total centers: 150
#
# Columns: x(m)  y(m)  z(m)  amplitude  source_theta(deg)
  -0.318341  0.000000  0.919022  1.066225e-03  30.0
  -0.244453  0.000000  0.890739  1.264107e-03  30.0
  -0.170564  0.000000  0.862457  1.113161e-03  30.0
  -0.330792  0.000000  0.897456  1.020726e-03  30.0
  -0.256904  0.000000  0.869173  1.077440e-03  30.0
  1.102584  0.000000  0.098650  1.018916e-03  30.0
  1.028695  0.000000  0.126932  1.099231e-03  30.0
  -0.183015  0.000000  0.840891  9.498384e-04  30.0
  -0.176789  0.000000  0.851674  1.004599e-03  30.0
  -0.250678  0.000000  0.879956  1.093361e-03  30.0
  -0.324567  0.000000  0.908239  1.183459e-03  30.0
  -0.102901  0.000000  0.823392  1.115896e-03  30.0
  -0.109126  0.000000  0.812609  9.925986e-04  30.0
  -0.176789  0.000000  0.851674  9.117752e-04  30.0
  -0.250678  0.000000  0.879956  9.923527e-04  30.0
  -0.337018  0.000000  0.886672  9.140519e-04  30.0
  1.115035  0.000000  0.120216  8.901686e-04  30.0
  -0.096675  0.000000  0.834175  8.756972e-04  30.0
  -0.102901  0.000000  0.823392  9.176863e-04  30.0
  -0.029012  0.000000  0.795109  9.514415e-04  30.0
  -0.176789  0.000000  0.851674  8.612034e-04  30.0
  -0.263129  0.000000  0.858390  9.220890e-04  30.0
  -0.170564  0.000000  0.862457  8.451228e-04  30.0
  -0.244453  0.000000  0.890739  9.280550e-04  30.0
  -0.318341  0.000000  0.919022  9.091542e-04  30.0
  -0.035238  0.000000  0.784326  8.906736e-04  30.0
  1.041146  0.000000  0.148499  8.496208e-04  30.0
  1.108809  0.000000  0.109433  8.701343e-04  30.0
  -0.250678  0.000000  0.879956  8.225917e-04  30.0
  -0.176789  0.000000  0.851674  7.977566e-04  30.0
  1.271533  0.000000  -0.018356  2.010468e-03  60.0
  1.221685  0.000000  0.043082  2.436446e-03  60.0
  1.321381  0.000000  -0.079793  2.068371e-03  60.0
  1.271533  0.000000  -0.018356  1.991849e-03  60.0
  1.282316  0.000000  -0.012130  1.933626e-03  60.0
  1.232468  0.000000  0.049308  2.329675e-03  60.0
  1.182619  0.000000  0.110745  2.211250e-03  60.0
  1.332164  0.000000  -0.073567  2.093672e-03  60.0
  1.282316  0.000000  -0.012130  1.867210e-03  60.0
  1.232468  0.000000  0.049308  1.989277e-03  60.0
  1.171836  0.000000  0.104519  1.566301e-03  60.0
  1.221685  0.000000  0.043082  1.838951e-03  60.0
  1.271533  0.000000  -0.018356  1.857668e-03  60.0
  1.321381  0.000000  -0.079793  2.015783e-03  60.0
  1.371230  0.000000  -0.141231  1.898221e-03  60.0
  1.332164  0.000000  -0.073567  1.470091e-03  60.0
  1.282316  0.000000  -0.012130  1.827670e-03  60.0
  1.382013  0.000000  -0.135005  1.624756e-03  60.0
  1.243251  0.000000  0.055533  1.572845e-03  60.0
  1.321381  0.000000  -0.079793  1.575401e-03  60.0
  1.193402  0.000000  0.116971  1.610266e-03  60.0
  1.143554  0.000000  0.178408  1.568016e-03  60.0
  1.271533  0.000000  -0.018356  1.526034e-03  60.0
  1.260750  0.000000  -0.024581  1.513107e-03  60.0
  1.310598  0.000000  -0.086019  1.782409e-03  60.0
  1.360447  0.000000  -0.147456  1.698257e-03  60.0
  1.210902  0.000000  0.036856  1.620531e-03  60.0
  1.321381  0.000000  -0.079793  1.497194e-03  60.0
  1.371230  0.000000  -0.141231  1.793552e-03  60.0
  1.132771  0.000000  0.172183  1.465179e-03  60.0
  -0.706285  0.000000  -0.000000  2.480213e-02  90.0
  -0.718737  0.000000  0.078131  2.712344e-02  90.0
  -0.706285  0.000000  -0.156261  2.628346e-02  90.0
  2.319349  0.000000  0.000000  2.476982e-02  90.0
  2.306898  0.000000  0.078131  2.793346e-02  90.0
  2.319349  0.000000  -0.156261  2.648086e-02  90.0
  0.713148  0.000000  0.000000  2.467049e-02  90.0
  0.700697  0.000000  0.078131  2.678572e-02  90.0
