# 3D Scattering Centers Reconstruction
# Model: cylinder_feko
# Reference point: [0.0000, 0.0000, 0.5000] m
# Center angles (deg): 30   60   90  120  150
# Aperture: 10.0 deg
# Total centers: 150
#
# Columns: x(m)  y(m)  z(m)  amplitude  source_theta(deg)
  -0.488071  0.000000  -0.517250  1.370364e-04  30.0
  -0.407391  0.000000  -0.549397  1.346325e-04  30.0
  -0.562500  0.000000  -0.474279  1.260742e-04  30.0
  -0.481821  0.000000  -0.506425  1.498144e-04  30.0
  -0.401141  0.000000  -0.538572  1.028631e-04  30.0
  -0.568750  0.000000  -0.485104  9.855112e-05  30.0
  -0.488071  0.000000  -0.517250  1.063976e-04  30.0
  -0.481821  0.000000  -0.506425  9.336274e-05  30.0
  -0.562500  0.000000  -0.474279  1.015722e-04  30.0
  -0.643179  0.000000  -0.442132  9.396414e-05  30.0
  -0.407391  0.000000  -0.549397  8.896691e-05  30.0
  -0.326712  0.000000  -0.581543  8.564986e-05  30.0
  -0.556250  0.000000  -0.463453  8.015858e-05  30.0
  -0.481821  0.000000  -0.506425  7.531202e-05  30.0
  -0.562500  0.000000  -0.474279  8.596244e-05  30.0
  -0.401141  0.000000  -0.538572  8.053534e-05  30.0
  -0.488071  0.000000  -0.517250  7.424033e-05  30.0
  -0.407391  0.000000  -0.549397  7.501134e-05  30.0
  -0.568750  0.000000  -0.485104  7.464557e-05  30.0
  -0.481821  0.000000  -0.506425  7.251552e-05  30.0
  -0.332962  0.000000  -0.592369  6.993696e-05  30.0
  -0.562500  0.000000  -0.474279  6.951216e-05  30.0
  -0.643179  0.000000  -0.442132  7.207743e-05  30.0
  -0.488071  0.000000  -0.517250  6.691911e-05  30.0
  -0.407391  0.000000  -0.549397  7.251051e-05  30.0
  -0.326712  0.000000  -0.581543  7.857621e-05  30.0
  -0.636929  0.000000  -0.431307  6.751435e-05  30.0
  -0.252282  0.000000  -0.624515  6.617480e-05  30.0
  -0.649429  0.000000  -0.452957  6.333618e-05  30.0
  -0.332962  0.000000  -0.592369  6.140016e-05  30.0
  -0.507802  0.000000  0.504538  7.268417e-05  60.0
  -0.454004  0.000000  0.436359  7.475371e-05  60.0
  -0.511096  0.000000  -0.489756  7.060015e-05  60.0
  -0.457299  0.000000  -0.557935  7.913146e-05  60.0
  -0.564893  0.000000  -0.421576  7.474975e-05  60.0
  -0.550773  0.000000  0.578968  6.424817e-05  60.0
  -0.496976  0.000000  0.510788  7.090964e-05  60.0
  -0.403502  0.000000  -0.626115  6.322241e-05  60.0
  -0.511096  0.000000  -0.489756  6.307834e-05  60.0
  -0.457299  0.000000  -0.557935  6.195317e-05  60.0
  -0.414327  0.000000  -0.632365  6.014140e-05  60.0
  -0.468124  0.000000  -0.564185  6.849949e-05  60.0
  -0.521921  0.000000  -0.496006  6.574620e-05  60.0
  -0.360530  0.000000  -0.700544  6.050005e-05  60.0
  -0.561599  0.000000  0.572718  5.549297e-05  60.0
  -0.507802  0.000000  0.504538  6.085430e-05  60.0
  -0.414327  0.000000  -0.632365  5.329914e-05  60.0
  -0.468124  0.000000  -0.564185  5.552513e-05  60.0
  -0.575718  0.000000  -0.427826  5.441040e-05  60.0
  -0.521921  0.000000  -0.496006  5.349590e-05  60.0
  -0.454004  0.000000  0.436359  5.181996e-05  60.0
  -0.464830  0.000000  0.430109  4.815941e-05  60.0
  -0.411033  0.000000  0.361929  5.661486e-05  60.0
  -0.518627  0.000000  0.498288  5.192569e-05  60.0
  -0.604571  0.000000  0.647147  4.622851e-05  60.0
  -0.464830  0.000000  0.430109  4.772475e-05  60.0
  -0.507802  0.000000  0.504538  4.712049e-05  60.0
  -0.561599  0.000000  0.572718  5.515124e-05  60.0
  -0.586214  0.000000  -0.334647  4.517507e-05  60.0
  -0.543242  0.000000  -0.409076  4.806822e-05  60.0
  -0.500000  0.000000  0.156225  2.890956e-03  90.0
  -0.512500  0.000000  0.242169  3.086023e-03  90.0
  -0.500000  0.000000  -0.015662  2.978253e-03  90.0
  -0.487500  0.000000  -0.101606  3.001801e-03  90.0
  -0.500000  0.000000  0.070282  2.598526e-03  90.0
  -0.512500  0.000000  0.156225  2.713524e-03  90.0
  -0.487500  0.000000  -0.015662  2.524611e-03  90.0
  -0.512500  0.000000  0.328113  2.484055e-03  90.0
  -0.500000  0.000000  0.242169  2.515157e-03  90.0
  -0.500000  0.000000  0.070282  2.447265e-03  90.0
  -0.487500  0.000000  -0.187549  2.618242e-03  90.0
  -0.500000  0.000000  -0.101606  2.587552e-03  90.0
  -0.487500  0.000000  -0.359437  2.074245e-03  90.0
  -0.512500  0.000000  0.070282  2.036068e-03  90.0
  -0.500000  0.000000  -0.015662  2.060012e-03  90.0
  -0.487500  0.000000  -0.273493  1.965946e-03  90.0
  -0.500000  0.000000  -0.187549  2.323086e-03  90.0
  -0.512500  0.000000  0.414056  2.043945e-03  90.0
  -0.500000  0.000000  0.328113  2.201059e-03  90.0
  -0.475000  0.000000  -0.359437  1.873806e-03  90.0
  -0.487500  0.000000  -0.273493  1.871022e-03  90.0
  -0.512500  0.000000  0.328113  1.799530e-03  90.0
  -0.525000  0.000000  0.414056  1.774205e-03  90.0
  -0.500000  0.000000  0.242169  1.746307e-03  90.0
  -0.500000  0.000000  -0.273493  1.731768e-03  90.0
  -0.512500  0.000000  0.242169  1.660529e-03  90.0
  -0.500000  0.000000  0.156225  1.762410e-03  90.0
  -0.487500  0.000000  0.070282  1.816557e-03  90.0
  -0.487500  0.000000  -0.101606  1.742662e-03  90.0
  -0.512500  0.000000  -0.187549  1.590598e-03  90.0
  -0.507802  0.000000  0.495462  9.978723e-05  120.0
  -0.539948  0.000000  0.414782  9.970556e-05  120.0
  -0.475655  0.000000  0.576141  9.143764e-05  120.0
  -0.507802  0.000000  0.495462  8.353011e-05  120.0
  -0.496976  0.000000  0.489212  7.909468e-05  120.0
  -0.464830  0.000000  0.569891  9.443760e-05  120.0
  -0.529123  0.000000  0.408532  7.556656e-05  120.0
  -0.496976  0.000000  0.489212  7.179477e-05  120.0
  -0.432683  0.000000  0.650571  6.652975e-05  120.0
  -0.464830  0.000000  0.569891  7.076042e-05  120.0
  -0.539948  0.000000  0.414782  6.553690e-05  120.0
  -0.572095  0.000000  0.334103  6.758045e-05  120.0
  -0.507802  0.000000  0.495462  6.325752e-05  120.0
  -0.475655  0.000000  0.576141  6.086001e-05  120.0
  -0.539948  0.000000  0.414782  5.790365e-05  120.0
  -0.496976  0.000000  0.489212  5.972369e-05  120.0
  -0.529123  0.000000  0.408532  6.109675e-05  120.0
  -0.464830  0.000000  0.569891  5.324827e-05  120.0
  -0.432683  0.000000  0.650571  5.636293e-05  120.0
  -0.561269  0.000000  0.327853  5.267823e-05  120.0
  -0.496976  0.000000  0.489212  4.899549e-05  120.0
  -0.507802  0.000000  0.495462  4.863098e-05  120.0
  -0.539948  0.000000  0.414782  5.666749e-05  120.0
  -0.572095  0.000000  0.334103  6.068138e-05  120.0
  -0.464830  0.000000  0.569891  4.875048e-05  120.0
