# 3D Scattering Centers Reconstruction
# Model: compond
# Reference point: [0.0000, 0.0000, 0.0000] m
# Center angles (deg): 30   60   90  120  150
# Aperture: 10.0 deg
# Total centers: 150
#
# Columns: x(m)  y(m)  z(m)  amplitude  source_theta(deg)
  0.065353  0.000000  0.972631  1.515770e-04  30.0
  -0.015326  0.000000  1.004778  1.668076e-04  30.0
  0.146032  0.000000  0.940485  1.571867e-04  30.0
  -0.009076  0.000000  1.015603  1.467129e-04  30.0
  -0.089756  0.000000  1.047750  1.631046e-04  30.0
  0.071603  0.000000  0.983457  1.516842e-04  30.0
  -0.009076  0.000000  1.015603  1.321599e-04  30.0
  -0.096006  0.000000  1.036924  1.286613e-04  30.0
  -0.015326  0.000000  1.004778  1.316213e-04  30.0
  0.065353  0.000000  0.972631  1.532127e-04  30.0
  0.152282  0.000000  0.951310  1.190462e-04  30.0
  0.071603  0.000000  0.983457  1.169437e-04  30.0
  -0.009076  0.000000  1.015603  1.116827e-04  30.0
  -0.089756  0.000000  1.047750  1.330611e-04  30.0
  -0.170435  0.000000  1.079896  1.340406e-04  30.0
  -0.096006  0.000000  1.036924  1.062077e-04  30.0
  -0.015326  0.000000  1.004778  1.178718e-04  30.0
  -0.176685  0.000000  1.069071  1.103147e-04  30.0
  0.065353  0.000000  0.972631  1.074622e-04  30.0
  0.146032  0.000000  0.940485  1.140302e-04  30.0
  -0.089756  0.000000  1.047750  9.792705e-05  30.0
  -0.009076  0.000000  1.015603  1.086886e-04  30.0
  0.071603  0.000000  0.983457  1.126061e-04  30.0
  -0.096006  0.000000  1.036924  1.052500e-04  30.0
  -0.015326  0.000000  1.004778  1.039175e-04  30.0
  0.207962  0.000000  0.875862  1.095293e-04  30.0
  0.065353  0.000000  0.972631  1.023944e-04  30.0
  0.121032  0.000000  0.897184  1.013066e-04  30.0
  0.152282  0.000000  0.951310  9.458567e-05  30.0
  -0.170435  0.000000  1.079896  9.441469e-05  30.0
  0.507802  0.000000  -0.004538  3.764985e-04  60.0
  0.464830  0.000000  0.069891  3.989432e-04  60.0
  0.518627  0.000000  0.001712  4.107205e-04  60.0
  0.561599  0.000000  -0.072718  3.903248e-04  60.0
  0.475655  0.000000  0.076141  3.304480e-04  60.0
  0.421858  0.000000  0.144321  3.292960e-04  60.0
  0.518627  0.000000  0.001712  3.224074e-04  60.0
  0.464830  0.000000  0.069891  3.485929e-04  60.0
  0.507802  0.000000  -0.004538  3.002444e-04  60.0
  0.561599  0.000000  -0.072718  3.051561e-04  60.0
  0.572424  0.000000  -0.066468  3.010476e-04  60.0
  0.518627  0.000000  0.001712  3.035826e-04  60.0
  0.475655  0.000000  0.076141  3.063553e-04  60.0
  0.421858  0.000000  0.144321  2.965477e-04  60.0
  0.464830  0.000000  0.069891  2.846283e-04  60.0
  0.518627  0.000000  0.001712  2.854987e-04  60.0
  0.411033  0.000000  0.138071  2.672071e-04  60.0
  0.561599  0.000000  -0.072718  2.664872e-04  60.0
  0.604571  0.000000  -0.147147  2.979792e-04  60.0
  0.507802  0.000000  -0.004538  2.769720e-04  60.0
